CPUs Experimento Ambiente Tempo
1 1 kvm 55.992
1 2 kvm 55.780
1 3 kvm 55.587
1 4 kvm 55.733
1 5 kvm 56.006
1 6 kvm 55.768
1 7 kvm 55.695
1 8 kvm 55.848
1 9 kvm 55.862
1 10 kvm 55.726
1 11 kvm 55.748
1 12 kvm 55.683
1 13 kvm 55.880
1 14 kvm 55.703
1 15 kvm 55.885
1 16 kvm 55.819
1 17 kvm 55.751
1 18 kvm 55.737
1 19 kvm 55.932
1 20 kvm 55.771
1 21 kvm 55.759
1 22 kvm 55.724
1 23 kvm 55.927
1 24 kvm 55.780
1 25 kvm 55.835
1 26 kvm 55.779
1 27 kvm 55.823
1 28 kvm 55.819
1 29 kvm 55.818
1 30 kvm 56.754
2 1 kvm 30.427
2 2 kvm 29.839
2 3 kvm 29.872
2 4 kvm 29.909
2 5 kvm 29.843
2 6 kvm 29.861
2 7 kvm 29.880
2 8 kvm 29.896
2 9 kvm 29.775
2 10 kvm 29.856
2 11 kvm 29.800
2 12 kvm 29.820
2 13 kvm 29.816
2 14 kvm 29.844
2 15 kvm 29.805
2 16 kvm 30.115
2 17 kvm 29.824
2 18 kvm 29.864
2 19 kvm 29.843
2 20 kvm 29.783
2 21 kvm 29.777
2 22 kvm 30.035
2 23 kvm 29.973
2 24 kvm 29.777
2 25 kvm 29.848
2 26 kvm 29.781
2 27 kvm 29.855
2 28 kvm 29.784
2 29 kvm 30.182
2 30 kvm 29.802
4 1 kvm 15.793
4 2 kvm 15.887
4 3 kvm 15.804
4 4 kvm 15.810
4 5 kvm 15.849
4 6 kvm 15.781
4 7 kvm 15.832
4 8 kvm 15.785
4 9 kvm 15.809
4 10 kvm 15.754
4 11 kvm 15.844
4 12 kvm 15.791
4 13 kvm 15.755
4 14 kvm 15.760
4 15 kvm 15.797
4 16 kvm 15.756
4 17 kvm 15.832
4 18 kvm 15.796
4 19 kvm 15.763
4 20 kvm 15.744
4 21 kvm 15.776
4 22 kvm 15.949
4 23 kvm 15.827
4 24 kvm 15.811
4 25 kvm 15.767
4 26 kvm 15.761
4 27 kvm 15.860
4 28 kvm 15.840
4 29 kvm 15.852
4 30 kvm 15.793
8 1 kvm 8.988
8 2 kvm 8.794
8 3 kvm 8.862
8 4 kvm 8.972
8 5 kvm 8.809
8 6 kvm 8.879
8 7 kvm 8.944
8 8 kvm 9.010
8 9 kvm 9.030
8 10 kvm 8.998
8 11 kvm 8.963
8 12 kvm 8.886
8 13 kvm 8.793
8 14 kvm 8.783
8 15 kvm 8.961
8 16 kvm 8.993
8 17 kvm 9.031
8 18 kvm 8.921
8 19 kvm 8.966
8 20 kvm 8.966
8 21 kvm 8.870
8 22 kvm 8.994
8 23 kvm 8.951
8 24 kvm 8.968
8 25 kvm 8.917
8 26 kvm 8.979
8 27 kvm 8.872
8 28 kvm 8.976
8 29 kvm 9.008
8 30 kvm 8.991
10 1 kvm 7.667
10 2 kvm 7.670
10 3 kvm 7.527
10 4 kvm 7.601
10 5 kvm 7.604
10 6 kvm 7.631
10 7 kvm 7.534
10 8 kvm 7.455
10 9 kvm 7.626
10 10 kvm 7.515
10 11 kvm 7.643
10 12 kvm 7.603
10 13 kvm 7.485
10 14 kvm 7.807
10 15 kvm 7.494
10 16 kvm 7.583
10 17 kvm 7.593
10 18 kvm 7.621
10 19 kvm 7.623
10 20 kvm 7.607
10 21 kvm 7.774
10 22 kvm 7.587
10 23 kvm 7.642
10 24 kvm 7.608
10 25 kvm 7.655
10 26 kvm 7.623
10 27 kvm 7.582
10 28 kvm 7.657
10 29 kvm 7.642
10 30 kvm 7.656
16 1 kvm 5.517
16 2 kvm 5.506
16 3 kvm 5.555
16 4 kvm 5.557
16 5 kvm 5.612
16 6 kvm 5.455
16 7 kvm 5.465
16 8 kvm 5.535
16 9 kvm 5.476
16 10 kvm 5.640
16 11 kvm 5.511
16 12 kvm 5.421
16 13 kvm 5.494
16 14 kvm 5.501
16 15 kvm 5.497
16 16 kvm 5.554
16 17 kvm 5.585
16 18 kvm 5.588
16 19 kvm 5.567
16 20 kvm 5.477
16 21 kvm 5.534
16 22 kvm 5.516
16 23 kvm 5.480
16 24 kvm 5.563
16 25 kvm 5.547
16 26 kvm 5.485
16 27 kvm 5.589
16 28 kvm 5.441
16 29 kvm 5.620
16 30 kvm 5.489
20 1 kvm 5.076
20 2 kvm 5.020
20 3 kvm 4.945
20 4 kvm 5.078
20 5 kvm 4.937
20 6 kvm 4.877
20 7 kvm 5.101
20 8 kvm 4.983
20 9 kvm 4.902
20 10 kvm 5.145
20 11 kvm 5.096
20 12 kvm 5.042
20 13 kvm 5.272
20 14 kvm 5.165
20 15 kvm 5.072
20 16 kvm 5.168
20 17 kvm 5.012
20 18 kvm 4.967
20 19 kvm 5.061
20 20 kvm 4.974
20 21 kvm 4.910
20 22 kvm 4.903
20 23 kvm 4.943
20 24 kvm 4.999
20 25 kvm 4.992
20 26 kvm 5.009
20 27 kvm 4.876
20 28 kvm 4.958
20 29 kvm 5.044
20 30 kvm 4.932
32 1 kvm 6.678
32 2 kvm 6.397
32 3 kvm 6.489
32 4 kvm 6.370
32 5 kvm 6.306
32 6 kvm 6.486
32 7 kvm 6.202
32 8 kvm 6.165
32 9 kvm 6.170
32 10 kvm 6.813
32 11 kvm 6.343
32 12 kvm 6.132
32 13 kvm 6.262
32 14 kvm 6.178
32 15 kvm 6.046
32 16 kvm 6.255
32 17 kvm 6.405
32 18 kvm 5.951
32 19 kvm 6.291
32 20 kvm 6.149
32 21 kvm 6.082
32 22 kvm 6.231
32 23 kvm 6.186
32 24 kvm 6.088
32 25 kvm 6.324
32 26 kvm 6.140
32 27 kvm 6.339
32 28 kvm 6.147
