CPUs Experimento Ambiente Tempo
1 1 kvm 56.284
1 2 kvm 55.961
1 3 kvm 56.273
1 4 kvm 55.981
1 5 kvm 56.003
1 6 kvm 56.024
1 7 kvm 56.064
1 8 kvm 56.035
1 9 kvm 56.048
1 10 kvm 56.053
1 11 kvm 56.145
1 12 kvm 55.955
1 13 kvm 56.043
1 14 kvm 55.965
1 15 kvm 56.306
1 16 kvm 56.215
1 17 kvm 56.002
1 18 kvm 56.269
1 19 kvm 56.169
1 20 kvm 56.102
1 21 kvm 56.069
1 22 kvm 56.020
1 23 kvm 56.379
1 24 kvm 56.008
1 25 kvm 56.618
1 26 kvm 57.064
1 27 kvm 55.976
1 28 kvm 56.215
1 29 kvm 56.228
1 30 kvm 56.135
2 1 kvm 30.631
2 2 kvm 29.944
2 3 kvm 29.936
2 4 kvm 29.904
2 5 kvm 29.896
2 6 kvm 29.903
2 7 kvm 29.909
2 8 kvm 29.864
2 9 kvm 29.911
2 10 kvm 29.900
2 11 kvm 29.881
2 12 kvm 29.804
2 13 kvm 29.895
2 14 kvm 29.864
2 15 kvm 29.896
2 16 kvm 29.892
2 17 kvm 29.889
2 18 kvm 29.890
2 19 kvm 29.832
2 20 kvm 29.903
2 21 kvm 29.877
2 22 kvm 29.856
2 23 kvm 29.880
2 24 kvm 29.972
2 25 kvm 29.900
2 26 kvm 29.908
2 27 kvm 29.932
2 28 kvm 29.931
2 29 kvm 29.916
2 30 kvm 29.909
4 1 kvm 15.796
4 2 kvm 15.795
4 3 kvm 15.796
4 4 kvm 15.800
4 5 kvm 15.796
4 6 kvm 15.776
4 7 kvm 15.760
4 8 kvm 15.772
4 9 kvm 15.776
4 10 kvm 15.748
4 11 kvm 15.765
4 12 kvm 15.769
4 13 kvm 15.782
4 14 kvm 15.792
4 15 kvm 15.796
4 16 kvm 15.793
4 17 kvm 15.764
4 18 kvm 15.827
4 19 kvm 15.791
4 20 kvm 15.801
4 21 kvm 15.798
4 22 kvm 15.762
4 23 kvm 15.816
4 24 kvm 15.766
4 25 kvm 15.850
4 26 kvm 15.761
4 27 kvm 15.864
4 28 kvm 15.736
4 29 kvm 15.804
4 30 kvm 15.793
8 1 kvm 8.827
8 2 kvm 8.964
8 3 kvm 8.919
8 4 kvm 8.972
8 5 kvm 8.975
8 6 kvm 8.976
8 7 kvm 8.934
8 8 kvm 8.941
8 9 kvm 8.780
8 10 kvm 8.902
8 11 kvm 8.775
