CPUs Experimento Ambiente Tempo
1 1 kvm 377.691
1 2 kvm 379.564
1 3 kvm 375.078
1 4 kvm 375.001
1 5 kvm 374.793
1 6 kvm 375.004
1 7 kvm 375.251
1 8 kvm 374.997
1 9 kvm 375.053
1 10 kvm 374.646
1 11 kvm 374.864
1 12 kvm 374.796
1 13 kvm 374.635
1 14 kvm 374.503
1 15 kvm 375.147
1 16 kvm 374.598
1 17 kvm 374.699
1 18 kvm 374.564
1 19 kvm 374.963
1 20 kvm 374.581
1 21 kvm 374.914
1 22 kvm 374.725
1 23 kvm 375.263
1 24 kvm 375.848
1 25 kvm 374.638
1 26 kvm 374.879
1 27 kvm 382.004
1 28 kvm 374.532
1 29 kvm 375.326
1 30 kvm 374.777
2 1 kvm 191.309
2 2 kvm 191.483
2 3 kvm 191.782
2 4 kvm 190.865
2 5 kvm 191.370
2 6 kvm 190.530
2 7 kvm 190.850
2 8 kvm 190.950
2 9 kvm 191.270
2 10 kvm 190.995
2 11 kvm 191.612
2 12 kvm 190.074
2 13 kvm 191.327
2 14 kvm 190.997
2 15 kvm 190.998
2 16 kvm 190.599
2 17 kvm 191.178
2 18 kvm 191.232
2 19 kvm 191.227
2 20 kvm 190.896
2 21 kvm 190.800
2 22 kvm 190.854
2 23 kvm 190.872
2 24 kvm 190.725
2 25 kvm 189.608
2 26 kvm 189.925
2 27 kvm 190.875
2 28 kvm 190.825
2 29 kvm 190.903
2 30 kvm 191.042
4 1 kvm 99.480
4 2 kvm 100.614
4 3 kvm 99.978
4 4 kvm 99.293
4 5 kvm 99.262
4 6 kvm 99.369
4 7 kvm 99.715
4 8 kvm 98.769
4 9 kvm 98.977
4 10 kvm 99.215
4 11 kvm 99.784
4 12 kvm 99.654
4 13 kvm 99.263
4 14 kvm 99.376
4 15 kvm 99.495
4 16 kvm 100.090
4 17 kvm 99.645
4 18 kvm 99.729
4 19 kvm 99.224
4 20 kvm 99.927
4 21 kvm 99.287
4 22 kvm 99.395
4 23 kvm 99.365
4 24 kvm 99.960
4 25 kvm 99.392
4 26 kvm 99.809
4 27 kvm 99.683
4 28 kvm 99.733
4 29 kvm 98.672
4 30 kvm 99.818
8 1 kvm 54.229
8 2 kvm 54.204
8 3 kvm 53.864
8 4 kvm 53.678
8 5 kvm 53.559
8 6 kvm 53.616
8 7 kvm 53.522
8 8 kvm 53.900
8 9 kvm 53.725
8 10 kvm 53.700
8 11 kvm 53.881
8 12 kvm 54.068
8 13 kvm 54.312
8 14 kvm 54.170
8 15 kvm 53.853
8 16 kvm 54.172
8 17 kvm 53.783
8 18 kvm 53.618
8 19 kvm 53.961
8 20 kvm 53.901
8 21 kvm 53.675
8 22 kvm 54.034
8 23 kvm 53.722
8 24 kvm 54.191
8 25 kvm 54.052
8 26 kvm 53.835
8 27 kvm 54.220
8 28 kvm 54.106
8 29 kvm 53.527
8 30 kvm 54.024
10 1 kvm 44.948
10 2 kvm 44.842
10 3 kvm 44.599
10 4 kvm 44.908
10 5 kvm 44.729
10 6 kvm 45.375
10 7 kvm 44.932
10 8 kvm 44.993
10 9 kvm 44.923
10 10 kvm 44.854
10 11 kvm 45.000
10 12 kvm 45.218
10 13 kvm 45.093
10 14 kvm 45.175
10 15 kvm 44.696
10 16 kvm 44.708
10 17 kvm 45.079
10 18 kvm 44.991
10 19 kvm 44.709
10 20 kvm 45.111
10 21 kvm 45.142
10 22 kvm 44.950
10 23 kvm 44.984
10 24 kvm 44.601
10 25 kvm 45.045
10 26 kvm 45.168
10 27 kvm 44.869
10 28 kvm 45.007
10 29 kvm 44.870
10 30 kvm 45.198
16 1 kvm 32.024
16 2 kvm 33.391
16 3 kvm 32.552
16 4 kvm 33.660
16 5 kvm 32.917
16 6 kvm 32.258
16 7 kvm 32.206
16 8 kvm 32.707
16 9 kvm 32.581
16 10 kvm 32.838
16 11 kvm 32.180
16 12 kvm 33.873
16 13 kvm 32.288
16 14 kvm 32.864
16 15 kvm 31.970
16 16 kvm 32.099
16 17 kvm 33.818
16 18 kvm 32.377
16 19 kvm 33.548
16 20 kvm 33.564
16 21 kvm 32.639
16 22 kvm 31.484
16 23 kvm 31.832
16 24 kvm 32.314
16 25 kvm 32.496
16 26 kvm 32.278
16 27 kvm 32.926
16 28 kvm 32.484
16 29 kvm 32.949
16 30 kvm 32.249
20 1 kvm 27.341
20 2 kvm 27.409
20 3 kvm 27.396
20 4 kvm 27.386
20 5 kvm 27.274
20 6 kvm 27.468
20 7 kvm 27.457
20 8 kvm 27.327
20 9 kvm 27.509
20 10 kvm 27.394
20 11 kvm 28.117
20 12 kvm 27.432
20 13 kvm 27.281
20 14 kvm 27.648
20 15 kvm 27.751
20 16 kvm 27.469
20 17 kvm 27.323
20 18 kvm 27.307
20 19 kvm 27.276
20 20 kvm 27.137
20 21 kvm 27.421
20 22 kvm 27.351
20 23 kvm 27.459
20 24 kvm 27.342
20 25 kvm 27.128
20 26 kvm 27.139
20 27 kvm 27.672
20 28 kvm 27.506
20 29 kvm 27.119
20 30 kvm 27.226
32 1 kvm 56.114
32 2 kvm 55.732
32 3 kvm 59.325
32 4 kvm 57.228
32 5 kvm 57.220
32 6 kvm 57.731
32 7 kvm 57.495
32 8 kvm 57.220
32 9 kvm 56.975
32 10 kvm 56.633
32 11 kvm 57.457
32 12 kvm 58.004
32 13 kvm 55.525
32 14 kvm 57.102
32 15 kvm 56.531
32 16 kvm 57.978
32 17 kvm 58.528
32 18 kvm 57.425
32 19 kvm 57.739
32 20 kvm 56.809
32 21 kvm 57.406
32 22 kvm 57.268
32 23 kvm 56.821
32 24 kvm 57.694
32 25 kvm 57.792
32 26 kvm 56.276
32 27 kvm 57.226
32 28 kvm 58.229
32 29 kvm 56.148
32 30 kvm 56.781
40 1 kvm 68.850
40 2 kvm 66.681
40 3 kvm 66.102
40 4 kvm 68.358
40 5 kvm 66.408
40 6 kvm 67.900
40 7 kvm 68.907
40 8 kvm 66.581
40 9 kvm 66.783
40 10 kvm 68.035
40 11 kvm 66.997
40 12 kvm 69.175
40 13 kvm 65.893
40 14 kvm 68.469
40 15 kvm 66.379
40 16 kvm 68.104
40 17 kvm 67.080
40 18 kvm 68.596
40 19 kvm 67.383
40 20 kvm 67.869
40 21 kvm 68.024
40 22 kvm 67.299
40 23 kvm 67.386
40 24 kvm 66.175
40 25 kvm 67.809
40 26 kvm 67.206
40 27 kvm 66.241
40 28 kvm 65.985
40 29 kvm 67.079
40 30 kvm 69.291
1 1 nativo 372.926
1 2 nativo 373.242
1 3 nativo 373.178
1 4 nativo 372.999
1 5 nativo 374.786
1 6 nativo 372.941
1 7 nativo 375.421
1 8 nativo 373.152
1 9 nativo 373.231
1 10 nativo 373.405
1 11 nativo 373.519
1 12 nativo 373.264
1 13 nativo 373.070
1 14 nativo 373.902
1 15 nativo 373.698
1 16 nativo 373.204
1 17 nativo 372.970
1 18 nativo 373.230
1 19 nativo 374.887
1 20 nativo 373.289
1 21 nativo 373.135
1 22 nativo 373.258
1 23 nativo 374.351
1 24 nativo 374.699
1 25 nativo 373.550
