CPUs Experimento Ambiente Tempo
1 1 kvm 373.208
1 2 kvm 373.062
1 3 kvm 373.169
1 4 kvm 373.011
1 5 kvm 373.016
1 6 kvm 373.201
1 7 kvm 373.203
1 8 kvm 372.953
1 9 kvm 373.089
1 10 kvm 372.976
1 11 kvm 373.192
1 12 kvm 372.984
1 13 kvm 373.254
1 14 kvm 373.052
1 15 kvm 373.110
1 16 kvm 372.929
1 17 kvm 373.062
1 18 kvm 373.137
1 19 kvm 373.381
1 20 kvm 373.011
1 21 kvm 373.015
1 22 kvm 373.084
1 23 kvm 372.914
1 24 kvm 373.144
1 25 kvm 372.895
1 26 kvm 373.136
1 27 kvm 372.951
1 28 kvm 372.979
1 29 kvm 373.151
1 30 kvm 372.920
2 1 kvm 189.563
2 2 kvm 189.483
2 3 kvm 189.408
2 4 kvm 189.576
2 5 kvm 189.808
2 6 kvm 189.532
2 7 kvm 189.306
2 8 kvm 189.437
2 9 kvm 189.568
2 10 kvm 189.504
2 11 kvm 189.617
2 12 kvm 189.467
2 13 kvm 189.357
2 14 kvm 189.184
2 15 kvm 189.472
2 16 kvm 189.461
2 17 kvm 189.273
2 18 kvm 189.564
2 19 kvm 189.428
2 20 kvm 189.268
2 21 kvm 189.504
2 22 kvm 189.237
2 23 kvm 189.439
2 24 kvm 189.472
2 25 kvm 189.976
2 26 kvm 189.639
2 27 kvm 187.840
2 28 kvm 189.557
2 29 kvm 189.243
2 30 kvm 189.521
4 1 kvm 98.194
4 2 kvm 98.137
4 3 kvm 98.192
4 4 kvm 98.226
4 5 kvm 98.232
4 6 kvm 98.083
4 7 kvm 98.127
4 8 kvm 98.127
4 9 kvm 98.317
4 10 kvm 98.113
4 11 kvm 97.998
4 12 kvm 98.170
4 13 kvm 98.181
4 14 kvm 98.110
4 15 kvm 98.038
4 16 kvm 98.142
4 17 kvm 98.247
4 18 kvm 98.133
4 19 kvm 98.167
4 20 kvm 98.162
4 21 kvm 98.274
4 22 kvm 98.148
4 23 kvm 98.242
4 24 kvm 98.335
4 25 kvm 98.128
4 26 kvm 98.186
4 27 kvm 98.263
4 28 kvm 98.130
4 29 kvm 98.271
4 30 kvm 98.127
8 1 kvm 52.572
8 2 kvm 52.598
8 3 kvm 52.694
8 4 kvm 52.648
8 5 kvm 52.718
8 6 kvm 52.553
8 7 kvm 52.595
8 8 kvm 52.607
8 9 kvm 52.584
8 10 kvm 52.622
8 11 kvm 52.595
8 12 kvm 52.569
8 13 kvm 52.579
8 14 kvm 52.620
8 15 kvm 52.620
8 16 kvm 52.620
8 17 kvm 52.734
8 18 kvm 52.824
8 19 kvm 52.833
8 20 kvm 52.604
8 21 kvm 52.606
8 22 kvm 52.587
8 23 kvm 52.581
8 24 kvm 52.675
8 25 kvm 52.663
8 26 kvm 52.594
8 27 kvm 52.567
8 28 kvm 52.584
8 29 kvm 52.595
8 30 kvm 52.599
10 1 kvm 43.606
10 2 kvm 43.622
10 3 kvm 43.531
10 4 kvm 43.594
10 5 kvm 43.522
10 6 kvm 43.584
10 7 kvm 43.575
10 8 kvm 43.609
10 9 kvm 43.552
10 10 kvm 43.596
10 11 kvm 43.587
10 12 kvm 43.566
10 13 kvm 43.558
10 14 kvm 43.584
10 15 kvm 43.578
10 16 kvm 43.588
10 17 kvm 43.627
10 18 kvm 43.944
10 19 kvm 43.578
10 20 kvm 43.580
10 21 kvm 43.652
10 22 kvm 43.544
10 23 kvm 43.638
10 24 kvm 43.514
10 25 kvm 43.568
10 26 kvm 43.565
10 27 kvm 43.637
10 28 kvm 43.601
10 29 kvm 43.571
10 30 kvm 43.572
16 1 kvm 30.282
16 2 kvm 30.326
16 3 kvm 30.252
16 4 kvm 30.354
16 5 kvm 30.281
16 6 kvm 30.394
16 7 kvm 30.402
16 8 kvm 30.358
16 9 kvm 30.526
16 10 kvm 30.512
16 11 kvm 30.367
16 12 kvm 30.362
16 13 kvm 30.445
16 14 kvm 30.261
16 15 kvm 30.324
16 16 kvm 30.310
16 17 kvm 30.498
16 18 kvm 30.351
16 19 kvm 30.417
16 20 kvm 30.282
16 21 kvm 30.380
16 22 kvm 30.253
16 23 kvm 30.276
16 24 kvm 30.353
16 25 kvm 30.356
16 26 kvm 30.272
16 27 kvm 30.333
16 28 kvm 30.298
16 29 kvm 30.317
16 30 kvm 30.261
20 1 kvm 26.337
20 2 kvm 26.339
20 3 kvm 26.164
20 4 kvm 26.134
20 5 kvm 26.088
20 6 kvm 26.399
20 7 kvm 26.170
20 8 kvm 26.295
20 9 kvm 26.267
20 10 kvm 26.563
20 11 kvm 26.286
20 12 kvm 26.396
20 13 kvm 26.258
20 14 kvm 26.285
20 15 kvm 26.405
20 16 kvm 26.179
20 17 kvm 26.215
20 18 kvm 26.139
20 19 kvm 26.439
20 20 kvm 26.292
20 21 kvm 26.232
20 22 kvm 26.336
20 23 kvm 26.286
20 24 kvm 26.183
20 25 kvm 26.391
20 26 kvm 26.130
20 27 kvm 26.264
20 28 kvm 26.265
20 29 kvm 26.282
20 30 kvm 26.195
1 1 nativo 373.208
1 2 nativo 373.062
1 3 nativo 373.169
1 4 nativo 373.011
1 5 nativo 373.016
1 6 nativo 373.201
1 7 nativo 373.203
1 8 nativo 372.953
1 9 nativo 373.089
1 10 nativo 372.976
1 11 nativo 373.192
1 12 nativo 372.984
1 13 nativo 373.254
1 14 nativo 373.052
1 15 nativo 373.110
1 16 nativo 372.929
1 17 nativo 373.062
1 18 nativo 373.137
1 19 nativo 373.381
1 20 nativo 373.011
1 21 nativo 373.015
1 22 nativo 373.084
1 23 nativo 372.914
1 24 nativo 373.144
1 25 nativo 372.895
1 26 nativo 373.136
1 27 nativo 372.951
1 28 nativo 372.979
1 29 nativo 373.151
1 30 nativo 372.920
2 1 nativo 189.563
2 2 nativo 189.483
2 3 nativo 189.408
2 4 nativo 189.576
2 5 nativo 189.808
2 6 nativo 189.532
2 7 nativo 189.306
2 8 nativo 189.437
2 9 nativo 189.568
2 10 nativo 189.504
2 11 nativo 189.617
2 12 nativo 189.467
2 13 nativo 189.357
2 14 nativo 189.184
2 15 nativo 189.472
2 16 nativo 189.461
2 17 nativo 189.273
2 18 nativo 189.564
2 19 nativo 189.428
2 20 nativo 189.268
2 21 nativo 189.504
2 22 nativo 189.237
2 23 nativo 189.439
2 24 nativo 189.472
2 25 nativo 189.976
2 26 nativo 189.639
2 27 nativo 187.840
2 28 nativo 189.557
2 29 nativo 189.243
2 30 nativo 189.521
4 1 nativo 98.194
4 2 nativo 98.137
4 3 nativo 98.192
4 4 nativo 98.226
4 5 nativo 98.232
4 6 nativo 98.083
4 7 nativo 98.127
4 8 nativo 98.127
4 9 nativo 98.317
4 10 nativo 98.113
4 11 nativo 97.998
4 12 nativo 98.170
4 13 nativo 98.181
4 14 nativo 98.110
4 15 nativo 98.038
4 16 nativo 98.142
4 17 nativo 98.247
4 18 nativo 98.133
4 19 nativo 98.167
4 20 nativo 98.162
4 21 nativo 98.274
4 22 nativo 98.148
4 23 nativo 98.242
4 24 nativo 98.335
4 25 nativo 98.128
4 26 nativo 98.186
4 27 nativo 98.263
4 28 nativo 98.130
4 29 nativo 98.271
4 30 nativo 98.127
8 1 nativo 52.572
8 2 nativo 52.598
8 3 nativo 52.694
8 4 nativo 52.648
8 5 nativo 52.718
8 6 nativo 52.553
8 7 nativo 52.595
8 8 nativo 52.607
8 9 nativo 52.584
8 10 nativo 52.622
8 11 nativo 52.595
8 12 nativo 52.569
8 13 nativo 52.579
8 14 nativo 52.620
8 15 nativo 52.620
8 16 nativo 52.620
8 17 nativo 52.734
8 18 nativo 52.824
8 19 nativo 52.833
8 20 nativo 52.604
8 21 nativo 52.606
8 22 nativo 52.587
8 23 nativo 52.581
8 24 nativo 52.675
8 25 nativo 52.663
8 26 nativo 52.594
8 27 nativo 52.567
8 28 nativo 52.584
8 29 nativo 52.595
8 30 nativo 52.599
10 1 nativo 43.606
10 2 nativo 43.622
10 3 nativo 43.531
10 4 nativo 43.594
10 5 nativo 43.522
10 6 nativo 43.584
10 7 nativo 43.575
10 8 nativo 43.609
10 9 nativo 43.552
10 10 nativo 43.596
10 11 nativo 43.587
10 12 nativo 43.566
10 13 nativo 43.558
10 14 nativo 43.584
10 15 nativo 43.578
10 16 nativo 43.588
10 17 nativo 43.627
10 18 nativo 43.944
10 19 nativo 43.578
10 20 nativo 43.580
10 21 nativo 43.652
10 22 nativo 43.544
10 23 nativo 43.638
10 24 nativo 43.514
10 25 nativo 43.568
10 26 nativo 43.565
10 27 nativo 43.637
10 28 nativo 43.601
10 29 nativo 43.571
10 30 nativo 43.572
16 1 nativo 30.282
16 2 nativo 30.326
16 3 nativo 30.252
16 4 nativo 30.354
16 5 nativo 30.281
16 6 nativo 30.394
16 7 nativo 30.402
16 8 nativo 30.358
16 9 nativo 30.526
16 10 nativo 30.512
16 11 nativo 30.367
16 12 nativo 30.362
16 13 nativo 30.445
16 14 nativo 30.261
16 15 nativo 30.324
16 16 nativo 30.310
16 17 nativo 30.498
16 18 nativo 30.351
16 19 nativo 30.417
16 20 nativo 30.282
16 21 nativo 30.380
16 22 nativo 30.253
16 23 nativo 30.276
16 24 nativo 30.353
16 25 nativo 30.356
16 26 nativo 30.272
16 27 nativo 30.333
16 28 nativo 30.298
16 29 nativo 30.317
16 30 nativo 30.261
20 1 nativo 26.337
20 2 nativo 26.339
20 3 nativo 26.164
20 4 nativo 26.134
20 5 nativo 26.088
20 6 nativo 26.399
20 7 nativo 26.170
20 8 nativo 26.295
20 9 nativo 26.267
20 10 nativo 26.563
20 11 nativo 26.286
20 12 nativo 26.396
20 13 nativo 26.258
20 14 nativo 26.285
20 15 nativo 26.405
20 16 nativo 26.179
20 17 nativo 26.215
20 18 nativo 26.139
20 19 nativo 26.439
20 20 nativo 26.292
20 21 nativo 26.232
20 22 nativo 26.336
20 23 nativo 26.286
20 24 nativo 26.183
20 25 nativo 26.391
20 26 nativo 26.130
20 27 nativo 26.264
20 28 nativo 26.265
20 29 nativo 26.282
20 30 nativo 26.195
1 1 xen 350.046
1 2 xen 346.740
1 3 xen 345.733
1 4 xen 346.712
1 5 xen 347.574
1 6 xen 347.475
1 7 xen 348.451
1 8 xen 346.192
1 9 xen 347.177
1 10 xen 348.396
1 11 xen 347.519
1 12 xen 347.115
1 13 xen 347.527
1 14 xen 346.670
1 15 xen 348.237
1 16 xen 349.356
1 17 xen 349.724
1 18 xen 350.352
1 19 xen 349.386
1 20 xen 350.099
1 21 xen 351.592
1 22 xen 351.205
1 23 xen 345.172
1 24 xen 345.672
1 25 xen 346.181
1 26 xen 346.447
1 27 xen 346.421
1 28 xen 349.607
1 29 xen 349.819
1 30 xen 349.623
2 1 xen 184.212
2 2 xen 184.880
2 3 xen 185.435
2 4 xen 185.235
2 5 xen 183.459
2 6 xen 184.067
2 7 xen 184.549
2 8 xen 183.765
2 9 xen 183.850
2 10 xen 185.193
2 11 xen 185.329
2 12 xen 185.135
2 13 xen 184.640
2 14 xen 184.788
2 15 xen 185.663
2 16 xen 184.915
2 17 xen 185.345
2 18 xen 186.114
2 19 xen 186.061
2 20 xen 185.860
2 21 xen 186.115
2 22 xen 185.029
2 23 xen 185.075
2 24 xen 184.772
2 25 xen 186.241
2 26 xen 186.564
2 27 xen 186.058
2 28 xen 185.551
2 29 xen 185.229
2 30 xen 184.840
4 1 xen 98.691
4 2 xen 98.370
4 3 xen 98.452
4 4 xen 98.682
4 5 xen 98.718
4 6 xen 98.484
4 7 xen 98.428
4 8 xen 98.443
4 9 xen 98.460
4 10 xen 98.461
4 11 xen 99.504
4 12 xen 98.917
4 13 xen 98.866
4 14 xen 98.795
4 15 xen 99.145
4 16 xen 98.428
4 17 xen 98.233
4 18 xen 98.296
4 19 xen 98.513
4 20 xen 98.720
4 21 xen 98.669
4 22 xen 98.923
4 23 xen 98.859
4 24 xen 98.795
4 25 xen 98.760
4 26 xen 98.416
4 27 xen 98.695
4 28 xen 98.930
4 29 xen 98.645
4 30 xen 98.626
8 1 xen 58.096
8 2 xen 59.183
8 3 xen 57.947
8 4 xen 58.138
8 5 xen 58.050
8 6 xen 58.016
8 7 xen 57.968
8 8 xen 57.876
8 9 xen 57.979
8 10 xen 57.995
8 11 xen 58.029
8 12 xen 58.173
8 13 xen 58.580
8 14 xen 58.211
8 15 xen 58.191
8 16 xen 58.311
8 17 xen 58.248
8 18 xen 58.596
8 19 xen 58.538
8 20 xen 58.661
8 21 xen 58.641
8 22 xen 58.557
8 23 xen 58.623
8 24 xen 58.660
8 25 xen 58.547
8 26 xen 58.963
8 27 xen 58.596
8 28 xen 58.546
8 29 xen 58.536
8 30 xen 57.867
10 1 xen 50.281
10 2 xen 50.460
10 3 xen 50.138
10 4 xen 49.876
10 5 xen 50.113
10 6 xen 52.430
10 7 xen 49.916
10 8 xen 49.813
10 9 xen 49.851
10 10 xen 52.330
10 11 xen 49.930
10 12 xen 50.147
10 13 xen 49.987
10 14 xen 49.871
10 15 xen 50.117
10 16 xen 50.246
10 17 xen 50.372
10 18 xen 50.334
10 19 xen 50.497
10 20 xen 50.414
10 21 xen 50.201
10 22 xen 50.030
10 23 xen 49.977
10 24 xen 49.905
10 25 xen 51.161
10 26 xen 50.293
10 27 xen 50.054
10 28 xen 49.671
10 29 xen 49.818
10 30 xen 49.982
16 1 xen 37.391
16 2 xen 39.580
16 3 xen 40.087
16 4 xen 37.868
16 5 xen 38.340
16 6 xen 38.434
16 7 xen 37.396
16 8 xen 37.386
16 9 xen 38.862
16 10 xen 37.875
16 11 xen 39.806
16 12 xen 38.114
16 13 xen 37.672
16 14 xen 37.220
16 15 xen 38.216
16 16 xen 39.437
16 17 xen 38.204
16 18 xen 37.729
16 19 xen 39.066
16 20 xen 37.834
16 21 xen 38.813
16 22 xen 39.896
16 23 xen 38.331
16 24 xen 38.127
16 25 xen 37.836
16 26 xen 42.065
16 27 xen 38.798
16 28 xen 38.054
16 29 xen 38.303
16 30 xen 38.908
20 1 xen 36.678
20 2 xen 34.428
20 3 xen 33.134
20 4 xen 33.386
20 5 xen 33.041
20 6 xen 35.387
20 7 xen 35.363
20 8 xen 33.695
20 9 xen 33.042
20 10 xen 33.055
20 11 xen 33.094
20 12 xen 33.101
20 13 xen 33.112
20 14 xen 33.073
20 15 xen 33.068
20 16 xen 33.312
20 17 xen 33.068
20 18 xen 33.098
20 19 xen 33.213
20 20 xen 33.086
20 21 xen 33.253
20 22 xen 33.264
20 23 xen 33.015
20 24 xen 33.258
20 25 xen 32.988
20 26 xen 32.997
20 27 xen 32.987
20 28 xen 33.019
20 29 xen 33.273
20 30 xen 32.935
