CPUs Experimento Ambiente Tempo
1 1 kvm 1253.998
1 2 kvm 1263.521
1 3 kvm 1255.955
1 4 kvm 1255.158
1 5 kvm 1263.896
1 6 kvm 1265.152
1 7 kvm 1264.875
1 8 kvm 1254.505
1 9 kvm 1258.203
1 10 kvm 1265.694
1 11 kvm 1258.232
1 12 kvm 1266.578
1 13 kvm 1275.253
1 14 kvm 1289.874
1 15 kvm 1259.444
1 16 kvm 1264.898
1 17 kvm 1275.568
1 18 kvm 1261.930
1 19 kvm 1264.669
1 20 kvm 1249.206
1 21 kvm 1256.216
1 22 kvm 1275.432
1 23 kvm 1260.270
1 24 kvm 1274.939
1 25 kvm 1289.957
1 26 kvm 1273.228
1 27 kvm 1278.913
1 28 kvm 1270.852
1 29 kvm 1256.494
1 30 kvm 1257.576
2 1 kvm 658.684
2 2 kvm 653.187
2 3 kvm 650.423
2 4 kvm 652.243
2 5 kvm 652.118
2 6 kvm 652.402
2 7 kvm 653.388
2 8 kvm 651.454
2 9 kvm 653.152
2 10 kvm 650.325
2 11 kvm 654.504
2 12 kvm 656.778
2 13 kvm 650.983
2 14 kvm 654.343
2 15 kvm 654.804
2 16 kvm 651.492
2 17 kvm 652.650
2 18 kvm 652.111
2 19 kvm 653.213
2 20 kvm 653.022
2 21 kvm 651.900
2 22 kvm 650.344
2 23 kvm 653.027
2 24 kvm 653.306
2 25 kvm 717.394
2 26 kvm 657.413
2 27 kvm 651.330
2 28 kvm 650.674
2 29 kvm 650.571
2 30 kvm 655.878
4 1 kvm 339.240
4 2 kvm 339.233
4 3 kvm 340.397
4 4 kvm 340.121
4 5 kvm 341.585
4 6 kvm 338.444
4 7 kvm 337.484
4 8 kvm 339.969
4 9 kvm 341.274
4 10 kvm 339.511
4 11 kvm 342.082
4 12 kvm 339.415
4 13 kvm 338.520
4 14 kvm 341.949
4 15 kvm 340.612
4 16 kvm 339.290
4 17 kvm 339.042
4 18 kvm 339.184
4 19 kvm 340.053
4 20 kvm 341.098
4 21 kvm 339.082
4 22 kvm 338.486
4 23 kvm 340.355
4 24 kvm 339.887
4 25 kvm 339.083
4 26 kvm 340.582
4 27 kvm 338.141
4 28 kvm 339.619
4 29 kvm 337.509
4 30 kvm 339.260
8 1 kvm 178.202
8 2 kvm 178.155
8 3 kvm 179.881
8 4 kvm 179.150
8 5 kvm 179.419
8 6 kvm 182.269
8 7 kvm 178.045
8 8 kvm 177.977
8 9 kvm 179.000
8 10 kvm 180.049
8 11 kvm 179.240
8 12 kvm 179.134
8 13 kvm 179.152
8 14 kvm 179.439
8 15 kvm 178.862
8 16 kvm 181.416
8 17 kvm 180.864
8 18 kvm 179.427
8 19 kvm 179.126
8 20 kvm 181.178
8 21 kvm 179.572
8 22 kvm 180.741
8 23 kvm 179.664
8 24 kvm 179.141
8 25 kvm 180.334
8 26 kvm 179.523
8 27 kvm 180.501
8 28 kvm 179.562
8 29 kvm 179.105
8 30 kvm 180.969
10 1 kvm 152.862
10 2 kvm 152.940
10 3 kvm 152.121
10 4 kvm 153.108
10 5 kvm 153.543
10 6 kvm 152.935
10 7 kvm 150.863
10 8 kvm 153.487
10 9 kvm 154.096
10 10 kvm 153.364
10 11 kvm 153.333
10 12 kvm 152.751
10 13 kvm 153.415
10 14 kvm 152.721
10 15 kvm 153.520
10 16 kvm 152.993
10 17 kvm 152.941
10 18 kvm 152.633
10 19 kvm 153.840
10 20 kvm 153.431
10 21 kvm 153.321
10 22 kvm 152.166
10 23 kvm 153.332
