CPUs Experimento Ambiente Tempo
1 1 kvm 1268.872
1 2 kvm 1262.342
1 3 kvm 1265.909
1 4 kvm 1269.500
1 5 kvm 1258.099
1 6 kvm 1279.075
1 7 kvm 1261.608
1 8 kvm 1255.578
1 9 kvm 1277.549
1 10 kvm 1260.341
1 11 kvm 1260.498
1 12 kvm 1254.983
1 13 kvm 1255.998
1 14 kvm 1269.985
1 15 kvm 1254.146
1 16 kvm 1250.952
1 17 kvm 1255.059
1 18 kvm 1256.122
1 19 kvm 1249.969
1 20 kvm 1255.398
1 21 kvm 1249.776
1 22 kvm 1254.342
1 23 kvm 1254.371
1 24 kvm 1254.331
1 25 kvm 1260.302
1 26 kvm 1257.564
1 27 kvm 1254.820
1 28 kvm 1256.215
1 29 kvm 1270.676
1 30 kvm 1255.882
2 1 kvm 651.716
2 2 kvm 651.997
2 3 kvm 651.935
2 4 kvm 654.847
2 5 kvm 651.558
2 6 kvm 651.425
2 7 kvm 653.706
2 8 kvm 649.691
2 9 kvm 651.457
2 10 kvm 651.540
2 11 kvm 650.861
2 12 kvm 649.956
2 13 kvm 650.731
2 14 kvm 652.219
2 15 kvm 653.205
2 16 kvm 652.596
2 17 kvm 651.964
2 18 kvm 650.727
2 19 kvm 649.687
2 20 kvm 653.966
2 21 kvm 652.092
2 22 kvm 651.300
2 23 kvm 651.238
2 24 kvm 651.092
2 25 kvm 652.544
2 26 kvm 651.713
2 27 kvm 652.120
2 28 kvm 651.657
2 29 kvm 650.540
2 30 kvm 651.000
4 1 kvm 335.522
4 2 kvm 336.327
4 3 kvm 336.888
4 4 kvm 339.535
4 5 kvm 337.652
4 6 kvm 338.028
4 7 kvm 335.739
4 8 kvm 338.249
4 9 kvm 340.078
4 10 kvm 335.656
4 11 kvm 338.401
4 12 kvm 335.635
4 13 kvm 336.464
4 14 kvm 336.371
4 15 kvm 337.926
4 16 kvm 336.237
4 17 kvm 337.159
4 18 kvm 338.452
4 19 kvm 336.413
4 20 kvm 337.743
4 21 kvm 338.153
4 22 kvm 338.665
4 23 kvm 337.917
4 24 kvm 338.147
4 25 kvm 337.439
4 26 kvm 336.795
4 27 kvm 336.840
4 28 kvm 338.173
4 29 kvm 336.705
4 30 kvm 337.466
8 1 kvm 179.948
8 2 kvm 179.271
8 3 kvm 178.059
8 4 kvm 178.212
8 5 kvm 178.190
8 6 kvm 178.335
8 7 kvm 177.826
8 8 kvm 178.117
8 9 kvm 178.967
8 10 kvm 178.545
8 11 kvm 177.657
8 12 kvm 176.650
8 13 kvm 179.443
8 14 kvm 178.082
8 15 kvm 178.824
8 16 kvm 178.685
8 17 kvm 177.352
8 18 kvm 181.699
8 19 kvm 178.532
8 20 kvm 177.409
8 21 kvm 176.619
8 22 kvm 178.501
8 23 kvm 177.545
8 24 kvm 179.208
8 25 kvm 178.182
8 26 kvm 177.779
8 27 kvm 180.610
8 28 kvm 178.118
8 29 kvm 178.249
8 30 kvm 177.376
10 1 kvm 151.700
10 2 kvm 154.580
10 3 kvm 151.896
10 4 kvm 152.713
10 5 kvm 151.935
10 6 kvm 149.819
10 7 kvm 152.169
10 8 kvm 151.695
10 9 kvm 153.576
10 10 kvm 151.806
10 11 kvm 153.534
10 12 kvm 151.620
10 13 kvm 152.974
10 14 kvm 153.309
10 15 kvm 152.780
10 16 kvm 151.778
10 17 kvm 152.230
10 18 kvm 153.708
10 19 kvm 152.209
10 20 kvm 152.055
10 21 kvm 152.673
10 22 kvm 152.687
10 23 kvm 152.116
10 24 kvm 151.978
10 25 kvm 152.319
10 26 kvm 153.373
10 27 kvm 151.125
10 28 kvm 152.550
10 29 kvm 151.864
10 30 kvm 151.560
16 1 kvm 99.280
16 2 kvm 99.394
16 3 kvm 99.199
16 4 kvm 99.163
16 5 kvm 100.416
16 6 kvm 100.589
16 7 kvm 101.852
16 8 kvm 100.760
16 9 kvm 99.512
16 10 kvm 100.145
16 11 kvm 100.138
16 12 kvm 99.560
16 13 kvm 101.621
16 14 kvm 99.391
16 15 kvm 101.162
16 16 kvm 97.749
16 17 kvm 99.192
16 18 kvm 99.184
16 19 kvm 98.893
16 20 kvm 100.819
16 21 kvm 100.764
16 22 kvm 100.280
16 23 kvm 98.388
16 24 kvm 100.019
16 25 kvm 98.637
16 26 kvm 99.647
16 27 kvm 101.359
16 28 kvm 99.662
16 29 kvm 98.251
16 30 kvm 99.870
20 1 kvm 89.236
20 2 kvm 89.975
20 3 kvm 90.283
20 4 kvm 89.111
20 5 kvm 91.704
20 6 kvm 90.556
20 7 kvm 89.697
20 8 kvm 88.540
20 9 kvm 91.141
20 10 kvm 88.028
20 11 kvm 87.908
20 12 kvm 87.820
20 13 kvm 89.534
20 14 kvm 91.038
20 15 kvm 87.580
20 16 kvm 86.851
20 17 kvm 88.184
20 18 kvm 88.305
20 19 kvm 88.654
20 20 kvm 89.276
20 21 kvm 87.600
20 22 kvm 88.156
20 23 kvm 90.431
20 24 kvm 88.785
20 25 kvm 86.613
20 26 kvm 90.764
20 27 kvm 88.802
20 28 kvm 88.355
20 29 kvm 91.072
20 30 kvm 91.006
1 1 nativo 1276.850
1 2 nativo 1277.082
1 3 nativo 1285.511
1 4 nativo 1298.055
1 5 nativo 1277.270
1 6 nativo 1291.308
1 7 nativo 1276.601
1 8 nativo 1277.227
1 9 nativo 1277.252
1 10 nativo 1296.963
1 11 nativo 1294.255
1 12 nativo 1300.595
1 13 nativo 1278.678
1 14 nativo 1278.037
1 15 nativo 1278.280
1 16 nativo 1276.682
1 17 nativo 1277.272
1 18 nativo 1276.612
1 19 nativo 1276.288
1 20 nativo 1290.898
1 21 nativo 1292.423
1 22 nativo 1276.970
1 23 nativo 1278.950
1 24 nativo 1276.537
1 25 nativo 1277.162
