CPUs Experimento Ambiente Tempo
1 1 kvm-4 105.5062 
1 2 kvm-4 105.3735 
1 3 kvm-4 105.4186 
1 4 kvm-4 105.4637 
1 5 kvm-4 105.4744 
1 6 kvm-4 105.4721 
1 7 kvm-4 105.3664 
1 8 kvm-4 105.4799 
1 9 kvm-4 105.4570 
1 10 kvm-4 105.5956 
1 11 kvm-4 105.4018 
1 12 kvm-4 105.3633 
1 13 kvm-4 105.4353 
1 14 kvm-4 105.4499 
1 15 kvm-4 105.4811 
1 16 kvm-4 105.5050 
1 17 kvm-4 105.4851 
1 18 kvm-4 105.5154 
1 19 kvm-4 105.3659 
1 20 kvm-4 105.4169 
1 21 kvm-4 105.4589 
1 22 kvm-4 105.4392 
1 23 kvm-4 105.4742 
1 24 kvm-4 105.4993 
1 25 kvm-4 105.5607 
1 26 kvm-4 105.5034 
1 27 kvm-4 105.3713 
1 28 kvm-4 105.4687 
1 29 kvm-4 105.3876 
1 30 kvm-4 105.4884 
2 1 kvm-4 52.7613 
2 2 kvm-4 52.7572 
2 3 kvm-4 52.7472 
2 4 kvm-4 52.7467 
2 5 kvm-4 52.7453 
2 6 kvm-4 52.7454 
2 7 kvm-4 52.7676 
2 8 kvm-4 52.7508 
2 9 kvm-4 52.7162 
2 10 kvm-4 52.7470 
2 11 kvm-4 52.7265 
2 12 kvm-4 52.7414 
2 13 kvm-4 52.7595 
2 14 kvm-4 52.7661 
2 15 kvm-4 52.7291 
2 16 kvm-4 52.7452 
2 17 kvm-4 52.7552 
2 18 kvm-4 52.7418 
2 19 kvm-4 52.7579 
2 20 kvm-4 52.7602 
2 21 kvm-4 52.7328 
2 22 kvm-4 52.7359 
2 23 kvm-4 52.7601 
2 24 kvm-4 52.7973 
2 25 kvm-4 52.7568 
2 26 kvm-4 52.7552 
2 27 kvm-4 52.7410 
2 28 kvm-4 52.7448 
2 29 kvm-4 52.7748 
2 30 kvm-4 52.7447 
4 1 kvm-4 26.3896 
4 2 kvm-4 26.3921 
4 3 kvm-4 26.4257 
4 4 kvm-4 26.4028 
4 5 kvm-4 26.3949 
4 6 kvm-4 26.3867 
4 7 kvm-4 26.3933 
4 8 kvm-4 26.4403 
4 9 kvm-4 26.3889 
4 10 kvm-4 26.4862 
4 11 kvm-4 26.3849 
4 12 kvm-4 26.4092 
4 13 kvm-4 26.4008 
4 14 kvm-4 26.4356 
4 15 kvm-4 26.3861 
4 16 kvm-4 26.3915 
4 17 kvm-4 26.4257 
4 18 kvm-4 26.3885 
4 19 kvm-4 26.4257 
4 20 kvm-4 26.3905 
4 21 kvm-4 26.4548 
4 22 kvm-4 26.4075 
4 23 kvm-4 26.4217 
4 24 kvm-4 26.3850 
4 25 kvm-4 26.3675 
4 26 kvm-4 26.4196 
4 27 kvm-4 26.3722 
4 28 kvm-4 26.4030 
4 29 kvm-4 26.4090 
4 30 kvm-4 26.4132 
1 1 xen-4 98.9954 
1 2 xen-4 96.7278 
1 3 xen-4 96.3810 
1 4 xen-4 101.7205 
1 5 xen-4 96.8717 
1 6 xen-4 100.0394 
1 7 xen-4 102.0812 
1 8 xen-4 100.3398 
1 9 xen-4 97.7167 
1 10 xen-4 98.3181 
1 11 xen-4 100.6017 
1 12 xen-4 100.1110 
1 13 xen-4 99.6156 
1 14 xen-4 100.7997 
1 15 xen-4 96.7205 
1 16 xen-4 98.2973 
1 17 xen-4 99.1570 
1 18 xen-4 99.8944 
1 19 xen-4 98.5835 
1 20 xen-4 105.1584 
1 21 xen-4 96.6981 
1 22 xen-4 100.9882 
1 23 xen-4 95.5627 
1 24 xen-4 99.3293 
1 25 xen-4 95.6069 
1 26 xen-4 100.3111 
1 27 xen-4 94.2946 
1 28 xen-4 103.0963 
1 29 xen-4 100.0477 
1 30 xen-4 98.9490 
2 1 xen-4 52.2189 
2 2 xen-4 52.2916 
2 3 xen-4 50.8076 
2 4 xen-4 51.2920 
2 5 xen-4 51.8092 
2 6 xen-4 52.0936 
2 7 xen-4 52.4497 
