CPUs Experimento Ambiente Tempo
1 1 Nativo 105.1538 
1 2 Nativo 105.1537 
1 3 Nativo 105.1578 
1 4 Nativo 105.1571 
1 5 Nativo 105.1502 
1 6 Nativo 105.1566 
1 7 Nativo 105.1481 
1 8 Nativo 105.1037 
1 9 Nativo 105.1040 
1 10 Nativo 105.0998 
1 11 Nativo 105.1295 
1 12 Nativo 105.1539 
1 13 Nativo 105.1535 
1 14 Nativo 105.1420 
1 15 Nativo 105.1574 
1 16 Nativo 105.1555 
1 17 Nativo 105.1534 
1 18 Nativo 105.1579 
1 19 Nativo 105.1379 
1 20 Nativo 105.1622 
1 21 Nativo 105.1355 
1 22 Nativo 105.1560 
1 23 Nativo 105.1597 
1 24 Nativo 105.1556 
1 25 Nativo 105.1582 
1 26 Nativo 105.1560 
1 27 Nativo 105.1555 
1 28 Nativo 105.1501 
1 29 Nativo 105.1138 
1 30 Nativo 105.0986 
1 1 kvm_1 105.4735 
1 2 kvm_1 105.3613 
1 3 kvm_1 105.3186 
1 4 kvm_1 105.3263 
1 5 kvm_1 105.3767 
1 6 kvm_1 105.3417 
1 7 kvm_1 105.3439 
1 8 kvm_1 105.3630 
1 9 kvm_1 105.3183 
1 10 kvm_1 105.3517 
1 11 kvm_1 105.3454 
1 12 kvm_1 105.3762 
1 13 kvm_1 105.3295 
1 14 kvm_1 105.3453 
1 15 kvm_1 105.4935 
1 16 kvm_1 105.4727 
1 17 kvm_1 105.3538 
1 18 kvm_1 105.3520 
1 19 kvm_1 105.3489 
1 20 kvm_1 105.3468 
1 21 kvm_1 105.5632 
1 22 kvm_1 105.3672 
1 23 kvm_1 105.3538 
1 24 kvm_1 105.3469 
1 25 kvm_1 105.3235 
1 26 kvm_1 105.4673 
1 27 kvm_1 105.4467 
1 28 kvm_1 105.3335 
1 29 kvm_1 105.3303 
1 30 kvm_1 105.4831 
1 1 kvm_2 105.5162 
1 2 kvm_2 105.4377 
1 3 kvm_2 105.3534 
1 4 kvm_2 105.8685 
1 5 kvm_2 105.3450 
1 6 kvm_2 105.3934 
1 7 kvm_2 105.3950 
1 8 kvm_2 105.3490 
1 9 kvm_2 105.3030 
1 10 kvm_2 105.4732 
1 11 kvm_2 105.3316 
1 12 kvm_2 105.3622 
1 13 kvm_2 105.7336 
1 14 kvm_2 105.4092 
1 15 kvm_2 105.4567 
1 16 kvm_2 105.3706 
1 17 kvm_2 105.3570 
1 18 kvm_2 105.3087 
1 19 kvm_2 105.4274 
1 20 kvm_2 105.3383 
1 21 kvm_2 105.3852 
1 22 kvm_2 105.3296 
1 23 kvm_2 105.4209 
1 24 kvm_2 105.3006 
1 25 kvm_2 105.3317 
1 26 kvm_2 105.3235 
1 27 kvm_2 105.5657 
