GB Experimento Ambiente Tempo
1 1 kvm_1 10.0559
1 2 kvm_1 18.1857
1 3 kvm_1 9.87969
1 4 kvm_1 9.82672
1 5 kvm_1 14.6222
1 6 kvm_1 9.7599
1 7 kvm_1 9.87106
1 8 kvm_1 16.9979
1 9 kvm_1 9.76697
1 10 kvm_1 13.5099
1 11 kvm_1 9.77539
1 12 kvm_1 9.7749
1 13 kvm_1 18.572
1 14 kvm_1 9.58935
1 15 kvm_1 13.557
1 16 kvm_1 9.51069
1 17 kvm_1 9.72281
1 18 kvm_1 16.6226
1 19 kvm_1 9.52055
1 20 kvm_1 14.7691
1 21 kvm_1 9.93829
1 22 kvm_1 9.5396
1 23 kvm_1 18.6926
1 24 kvm_1 9.70384
1 25 kvm_1 15.099
1 26 kvm_1 10.0809
1 27 kvm_1 15.2912
1 28 kvm_1 9.75312
1 29 kvm_1 9.78978
1 30 kvm_1 13.9505
10 1 kvm_1 108.792
10 2 kvm_1 112.784
10 3 kvm_1 110.953
10 4 kvm_1 115.716
10 5 kvm_1 120.295
10 6 kvm_1 111.533
10 7 kvm_1 133.942
10 8 kvm_1 119.782
10 9 kvm_1 120.578
10 10 kvm_1 117.228
10 11 kvm_1 115.414
10 12 kvm_1 113.825
10 13 kvm_1 114.004
10 14 kvm_1 118.314
10 15 kvm_1 121.006
10 16 kvm_1 117.512
10 17 kvm_1 126.175
10 18 kvm_1 119.738
10 19 kvm_1 123.482
10 20 kvm_1 131.586
10 21 kvm_1 121.313
10 22 kvm_1 120.114
10 23 kvm_1 119.727
10 24 kvm_1 123.312
10 25 kvm_1 124
10 26 kvm_1 125.774
10 27 kvm_1 121.428
10 28 kvm_1 128.882
10 29 kvm_1 134.525
10 30 kvm_1 119.796
1 1 xen_1 62.8666
1 2 xen_1 63.3064
1 3 xen_1 39.4113
1 4 xen_1 38.5146
1 5 xen_1 38.7457
1 6 xen_1 38.7782
1 7 xen_1 39.0399
1 8 xen_1 38.3909
1 9 xen_1 38.6637
1 10 xen_1 38.484
1 11 xen_1 38.5558
1 12 xen_1 38.3514
1 13 xen_1 38.902
1 14 xen_1 38.7949
1 15 xen_1 38.3854
1 16 xen_1 38.9259
1 17 xen_1 38.8641
1 18 xen_1 38.4365
1 19 xen_1 38.7745
1 20 xen_1 38.7351
1 21 xen_1 38.2221
1 22 xen_1 38.1602
1 23 xen_1 37.6864
1 24 xen_1 37.8496
1 25 xen_1 38.1157
1 26 xen_1 38.888
1 27 xen_1 38.6017
