GB Experimento Ambiente Tempo
1 1 kvm_1 8.86042
1 2 kvm_1 6.96024
1 3 kvm_1 6.87051
1 4 kvm_1 7.24825
1 5 kvm_1 7.20654
1 6 kvm_1 9.09926
1 7 kvm_1 7.21435
1 8 kvm_1 7.58964
1 9 kvm_1 7.37978
1 10 kvm_1 7.11872
1 11 kvm_1 6.88751
1 12 kvm_1 6.95607
1 13 kvm_1 7.79886
1 14 kvm_1 7.17227
1 15 kvm_1 7.19769
1 16 kvm_1 6.95301
1 17 kvm_1 7.71421
1 18 kvm_1 7.0737
1 19 kvm_1 6.8533
1 20 kvm_1 6.93988
1 21 kvm_1 6.9608
1 22 kvm_1 7.26998
1 23 kvm_1 7.11287
1 24 kvm_1 7.045
1 25 kvm_1 7.49285
1 26 kvm_1 7.12206
1 27 kvm_1 6.99238
1 28 kvm_1 6.85008
1 29 kvm_1 6.86353
1 30 kvm_1 7.38741
10 1 kvm_1 68.7199
10 2 kvm_1 68.4782
10 3 kvm_1 68.7482
10 4 kvm_1 67.7727
10 5 kvm_1 67.5202
10 6 kvm_1 68.367
10 7 kvm_1 68.8072
10 8 kvm_1 68.3167
10 9 kvm_1 67.0627
10 10 kvm_1 67.2396
10 11 kvm_1 68.2333
10 12 kvm_1 67.1031
10 13 kvm_1 67.0858
10 14 kvm_1 67.239
10 15 kvm_1 67.1156
10 16 kvm_1 66.9236
10 17 kvm_1 67.1524
10 18 kvm_1 67.0618
10 19 kvm_1 67.1182
10 20 kvm_1 66.9751
10 21 kvm_1 67.6512
10 22 kvm_1 66.8539
10 23 kvm_1 67.2511
10 24 kvm_1 67.3239
10 25 kvm_1 67.6455
10 26 kvm_1 67.2747
10 27 kvm_1 67.9328
10 28 kvm_1 67.1783
10 29 kvm_1 67.1617
10 30 kvm_1 67.6217
1 1 xen_1 32.7846
1 2 xen_1 33.1227
1 3 xen_1 32.2905
1 4 xen_1 32.9593
1 5 xen_1 33.4399
1 6 xen_1 32.541
1 7 xen_1 33.4151
1 8 xen_1 32.3992
1 9 xen_1 32.9138
1 10 xen_1 32.8978
1 11 xen_1 32.6441
1 12 xen_1 34.0031
1 13 xen_1 33.9896
1 14 xen_1 33.432
1 15 xen_1 35.2253
1 16 xen_1 34.3787
1 17 xen_1 34.3153
1 18 xen_1 33.7759
1 19 xen_1 32.7583
1 20 xen_1 34.2829
1 21 xen_1 34.7938
1 22 xen_1 35.164
1 23 xen_1 33.7543
1 24 xen_1 33.5137
1 25 xen_1 34.6789
1 26 xen_1 32.9335
1 27 xen_1 33.235
1 28 xen_1 32.9976
1 29 xen_1 34.2746
1 30 xen_1 32.8431
10 1 xen_1 336.388
10 2 xen_1 333.813
10 3 xen_1 332.085
10 4 xen_1 332.688
10 5 xen_1 326.144
10 6 xen_1 316.319
10 7 xen_1 317.564
10 8 xen_1 327.915
10 9 xen_1 327.207
10 10 xen_1 325.996
10 11 xen_1 323.186
10 12 xen_1 329.624
10 13 xen_1 325.702
10 14 xen_1 322.783
10 15 xen_1 324.953
10 16 xen_1 329.7
10 17 xen_1 328.373
10 18 xen_1 325.867
10 19 xen_1 331.884
10 20 xen_1 324.061
10 21 xen_1 327.061
10 22 xen_1 335.115
10 23 xen_1 323.724
10 24 xen_1 330.99
10 25 xen_1 319.734
10 26 xen_1 322.58
10 27 xen_1 327.706
10 28 xen_1 331.706
10 29 xen_1 327.757
10 30 xen_1 319.775
1 1 kvm_1 8.86042
1 2 kvm_1 6.96024
1 3 kvm_1 6.87051
1 4 kvm_1 7.24825
1 5 kvm_1 7.20654
1 6 kvm_1 9.09926
1 7 kvm_1 7.21435
1 8 kvm_1 7.58964
1 9 kvm_1 7.37978
1 10 kvm_1 7.11872
1 11 kvm_1 6.88751
1 12 kvm_1 6.95607
1 13 kvm_1 7.79886
1 14 kvm_1 7.17227
1 15 kvm_1 7.19769
1 16 kvm_1 6.95301
1 17 kvm_1 7.71421
1 18 kvm_1 7.0737
1 19 kvm_1 6.8533
1 20 kvm_1 6.93988
1 21 kvm_1 6.9608
1 22 kvm_1 7.26998
1 23 kvm_1 7.11287
1 24 kvm_1 7.045
1 25 kvm_1 7.49285
1 26 kvm_1 7.12206
1 27 kvm_1 6.99238
1 28 kvm_1 6.85008
1 29 kvm_1 6.86353
1 30 kvm_1 7.38741
10 1 kvm_1 68.7199
10 2 kvm_1 68.4782
10 3 kvm_1 68.7482
10 4 kvm_1 67.7727
10 5 kvm_1 67.5202
10 6 kvm_1 68.367
10 7 kvm_1 68.8072
10 8 kvm_1 68.3167
10 9 kvm_1 67.0627
10 10 kvm_1 67.2396
10 11 kvm_1 68.2333
10 12 kvm_1 67.1031
10 13 kvm_1 67.0858
10 14 kvm_1 67.239
10 15 kvm_1 67.1156
10 16 kvm_1 66.9236
10 17 kvm_1 67.1524
10 18 kvm_1 67.0618
10 19 kvm_1 67.1182
10 20 kvm_1 66.9751
10 21 kvm_1 67.6512
10 22 kvm_1 66.8539
10 23 kvm_1 67.2511
10 24 kvm_1 67.3239
10 25 kvm_1 67.6455
10 26 kvm_1 67.2747
10 27 kvm_1 67.9328
10 28 kvm_1 67.1783
10 29 kvm_1 67.1617
10 30 kvm_1 67.6217
1 1 nativo 13.4833
1 2 nativo 13.2394
1 3 nativo 13.4796
1 4 nativo 13.2512
1 5 nativo 13.468
1 6 nativo 13.3895
1 7 nativo 13.2576
1 8 nativo 13.3236
1 9 nativo 13.354
1 10 nativo 13.4736
1 11 nativo 13.2753
1 12 nativo 13.2575
1 13 nativo 13.2641
1 14 nativo 13.1437
1 15 nativo 13.3476
1 16 nativo 13.2637
1 17 nativo 13.4355
1 18 nativo 13.3197
1 19 nativo 13.3237
1 20 nativo 13.2995
1 21 nativo 13.2656
1 22 nativo 13.5964
1 23 nativo 13.2638
1 24 nativo 13.3476
1 25 nativo 13.2816
1 26 nativo 13.469
1 27 nativo 13.1002
1 28 nativo 13.3836
1 29 nativo 13.2634
1 30 nativo 16.3053
10 1 nativo 149.758
10 2 nativo 149.234
10 3 nativo 149.743
10 4 nativo 149.156
10 5 nativo 149.114
10 6 nativo 150.83
10 7 nativo 149.63
10 8 nativo 149.594
10 9 nativo 148.514
10 10 nativo 150.038
10 11 nativo 148.758
10 12 nativo 150.058
10 13 nativo 148.442
10 14 nativo 150.5
10 15 nativo 149.144
10 16 nativo 148.815
10 17 nativo 149.493
10 18 nativo 149.647
10 19 nativo 150.891
10 20 nativo 149.63
10 21 nativo 149.534
10 22 nativo 149.255
10 23 nativo 149.792
10 24 nativo 150.698
10 25 nativo 148.628
10 26 nativo 149.224
10 27 nativo 148.456
10 28 nativo 148.599
10 29 nativo 150.633
10 30 nativo 145.91
1 1 xen_1 32.7846
1 2 xen_1 33.1227
1 3 xen_1 32.2905
1 4 xen_1 32.9593
1 5 xen_1 33.4399
1 6 xen_1 32.541
1 7 xen_1 33.4151
1 8 xen_1 32.3992
1 9 xen_1 32.9138
1 10 xen_1 32.8978
1 11 xen_1 32.6441
1 12 xen_1 34.0031
1 13 xen_1 33.9896
1 14 xen_1 33.432
1 15 xen_1 35.2253
1 16 xen_1 34.3787
1 17 xen_1 34.3153
1 18 xen_1 33.7759
1 19 xen_1 32.7583
1 20 xen_1 34.2829
1 21 xen_1 34.7938
1 22 xen_1 35.164
1 23 xen_1 33.7543
1 24 xen_1 33.5137
1 25 xen_1 34.6789
1 26 xen_1 32.9335
1 27 xen_1 33.235
