GB Experimento Ambiente Tempo
1 1 kvm_1 7.34044
1 2 kvm_1 7.21458
1 3 kvm_1 7.20759
1 4 kvm_1 7.25799
1 5 kvm_1 7.23136
1 6 kvm_1 7.41503
1 7 kvm_1 7.09001
1 8 kvm_1 7.09385
1 9 kvm_1 7.183
1 10 kvm_1 7.14161
1 11 kvm_1 7.20354
1 12 kvm_1 7.37247
1 13 kvm_1 7.26925
1 14 kvm_1 7.06138
1 15 kvm_1 7.38348
1 16 kvm_1 7.19231
1 17 kvm_1 7.33953
1 18 kvm_1 7.37657
1 19 kvm_1 7.02218
1 20 kvm_1 7.12699
1 21 kvm_1 7.33685
1 22 kvm_1 7.21172
1 23 kvm_1 7.10221
1 24 kvm_1 7.17367
1 25 kvm_1 7.41121
1 26 kvm_1 7.2468
1 27 kvm_1 7.08222
1 28 kvm_1 7.11581
1 29 kvm_1 7.39903
1 30 kvm_1 7.09371
10 1 kvm_1 69.4216
10 2 kvm_1 69.9873
10 3 kvm_1 69.2167
10 4 kvm_1 69.0452
10 5 kvm_1 69.2222
10 6 kvm_1 69.3033
10 7 kvm_1 69.6766
10 8 kvm_1 69.3266
10 9 kvm_1 69.778
10 10 kvm_1 69.4298
10 11 kvm_1 69.5683
10 12 kvm_1 69.1236
10 13 kvm_1 69.1574
10 14 kvm_1 68.9435
10 15 kvm_1 69.0714
10 16 kvm_1 69.4267
10 17 kvm_1 69.198
10 18 kvm_1 69.2042
10 19 kvm_1 69.7548
10 20 kvm_1 69.0504
10 21 kvm_1 69.2572
10 22 kvm_1 69.2743
10 23 kvm_1 69.7376
10 24 kvm_1 69.1941
10 25 kvm_1 69.3077
10 26 kvm_1 69.1268
10 27 kvm_1 69.4319
10 28 kvm_1 69.1177
10 29 kvm_1 69.5004
10 30 kvm_1 69.7911
1 1 nativo 6.3278
1 2 nativo 6.04909
1 3 nativo 6.02092
1 4 nativo 6.06345
1 5 nativo 6.10696
1 6 nativo 6.17799
1 7 nativo 6.17187
1 8 nativo 6.05646
1 9 nativo 5.99745
1 10 nativo 6.10002
1 11 nativo 5.97131
1 12 nativo 6.00396
1 13 nativo 6.02773
1 14 nativo 5.99757
1 15 nativo 5.96303
1 16 nativo 6.06376
1 17 nativo 6.01584
1 18 nativo 5.9976
1 19 nativo 6.00964
1 20 nativo 6.05196
1 21 nativo 6.00385
1 22 nativo 6.00339
1 23 nativo 6.04583
1 24 nativo 6.04686
1 25 nativo 6.02814
1 26 nativo 5.99784
1 27 nativo 6.03977
1 28 nativo 5.97384
1 29 nativo 6.00347
1 30 nativo 6.02824
10 1 nativo 57.8397
10 2 nativo 57.459
10 3 nativo 57.4927
10 4 nativo 57.3751
10 5 nativo 57.6032
10 6 nativo 57.8349
10 7 nativo 57.9629
10 8 nativo 57.3269
10 9 nativo 57.585
10 10 nativo 57.6749
10 11 nativo 57.945
10 12 nativo 57.8185
10 13 nativo 57.9089
10 14 nativo 57.399
10 15 nativo 57.5974
10 16 nativo 58.0647
10 17 nativo 57.7241
10 18 nativo 57.8812
10 19 nativo 57.9289
10 20 nativo 57.8309
10 21 nativo 57.7061
10 22 nativo 57.7954
10 23 nativo 57.6691
10 24 nativo 57.6394
10 25 nativo 57.7232
10 26 nativo 57.7773
10 27 nativo 57.9808
10 28 nativo 57.8371
10 29 nativo 57.735
10 30 nativo 57.8012
1 1 xen_1 16.5323
1 2 xen_1 15.8934
1 3 xen_1 15.8118
1 4 xen_1 16.0679
1 5 xen_1 15.7662
1 6 xen_1 15.9027
1 7 xen_1 16.551
1 8 xen_1 15.7942
1 9 xen_1 15.683
1 10 xen_1 15.692
1 11 xen_1 15.7289
1 12 xen_1 15.9086
1 13 xen_1 15.869
1 14 xen_1 15.8046
1 15 xen_1 15.8402
1 16 xen_1 16.1382
1 17 xen_1 15.782
1 18 xen_1 15.8557
1 19 xen_1 16.0435
1 20 xen_1 15.8092
1 21 xen_1 15.9395
1 22 xen_1 15.9091
1 23 xen_1 15.9791
1 24 xen_1 15.9873
1 25 xen_1 15.8426
1 26 xen_1 16.1387
1 27 xen_1 15.6981
1 28 xen_1 15.8299
1 29 xen_1 15.83
1 30 xen_1 15.7318
10 1 xen_1 155.434
10 2 xen_1 155.662
10 3 xen_1 156.45
10 4 xen_1 156.654
10 5 xen_1 155.535
10 6 xen_1 156.247
10 7 xen_1 155.442
10 8 xen_1 155.864
10 9 xen_1 155.294
10 10 xen_1 155.87
10 11 xen_1 155.926
10 12 xen_1 155.325
10 13 xen_1 156.072
10 14 xen_1 155.665
10 15 xen_1 155.223
10 16 xen_1 155.963
10 17 xen_1 156.259
10 18 xen_1 156.603
10 19 xen_1 156.476
10 20 xen_1 156.269
10 21 xen_1 156.202
