GB Experimento Ambiente Tempo
15 1 kvm_2 7.54857
15 2 kvm_2 6.51372
15 3 kvm_2 6.05523
15 4 kvm_2 6.28899
15 5 kvm_2 5.74159
15 6 kvm_2 6.49781
15 7 kvm_2 6.37952
15 8 kvm_2 6.36868
15 9 kvm_2 6.3345
15 10 kvm_2 5.97221
15 11 kvm_2 5.66441
15 12 kvm_2 6.50907
15 13 kvm_2 6.33528
15 14 kvm_2 6.82382
15 15 kvm_2 5.54501
15 16 kvm_2 6.47558
15 17 kvm_2 6.3063
15 18 kvm_2 6.40549
15 19 kvm_2 6.30411
15 20 kvm_2 6.4517
15 21 kvm_2 6.3884
15 22 kvm_2 5.97251
15 23 kvm_2 5.90177
15 24 kvm_2 5.64266
15 25 kvm_2 6.32991
15 26 kvm_2 6.08617
15 27 kvm_2 5.88466
15 28 kvm_2 6.26232
15 29 kvm_2 6.03947
15 30 kvm_2 5.91321
30 1 kvm_2 12.79628
30 2 kvm_2 12.9169
30 3 kvm_2 10.6222
30 4 kvm_2 13.0112
30 5 kvm_2 10.7273
30 6 kvm_2 10.635
30 7 kvm_2 10.6324
30 8 kvm_2 13.6296
30 9 kvm_2 11.1791
30 10 kvm_2 10.7348
30 11 kvm_2 13.6684
30 12 kvm_2 13.4792
30 13 kvm_2 13.3657
30 14 kvm_2 11.7358
30 15 kvm_2 13.5703
30 16 kvm_2 12.3542
30 17 kvm_2 10.7471
30 18 kvm_2 10.6411
30 19 kvm_2 12.586
30 20 kvm_2 10.753
30 21 kvm_2 11.317
30 22 kvm_2 12.0279
30 23 kvm_2 13.5703
30 24 kvm_2 11.3864
30 25 kvm_2 10.7224
30 26 kvm_2 10.7417
30 27 kvm_2 13.6169
30 28 kvm_2 13.3383
30 29 kvm_2 13.3524
30 30 kvm_2 13.3283
15 1 xen_2 6.39283
15 2 xen_2 6.66208
15 3 xen_2 5.85143
15 4 xen_2 5.79656
15 5 xen_2 5.7504
15 6 xen_2 6.76784
15 7 xen_2 6.21989
15 8 xen_2 6.49444
15 9 xen_2 5.95887
15 10 xen_2 5.83559
15 11 xen_2 5.92264
15 12 xen_2 6.25386
15 13 xen_2 5.87091
15 14 xen_2 6.10948
15 15 xen_2 6.37922
15 16 xen_2 5.77097
15 17 xen_2 5.83455
15 18 xen_2 5.89457
15 19 xen_2 5.78452
15 20 xen_2 6.42354
15 21 xen_2 5.82706
15 22 xen_2 6.40628
15 23 xen_2 6.4176
15 24 xen_2 5.67397
15 25 xen_2 6.72503
15 26 xen_2 6.02327
15 27 xen_2 6.25181
15 28 xen_2 6.3778
15 29 xen_2 6.11996
15 30 xen_2 6.15837
30 1 xen_2 11.4645
30 2 xen_2 13.1078
30 3 xen_2 11.4948
30 4 xen_2 12.1814
30 5 xen_2 12.1007
30 6 xen_2 12.8223
30 7 xen_2 12.7597
30 8 xen_2 12.4146
30 9 xen_2 11.2394
30 10 xen_2 11.4085
30 11 xen_2 12.7902
30 12 xen_2 11.4115
30 13 xen_2 12.4997
30 14 xen_2 12.0969
30 15 xen_2 12.5153
30 16 xen_2 12.5572
30 17 xen_2 12.1207
30 18 xen_2 12.4422
30 19 xen_2 12.2058
30 20 xen_2 11.4331
30 21 xen_2 11.2778
30 22 xen_2 12.8344
30 23 xen_2 12.1692
30 24 xen_2 11.9829
30 25 xen_2 12.0617
30 26 xen_2 11.3136
30 27 xen_2 12.8113
30 28 xen_2 11.4613
30 29 xen_2 11.283
30 30 xen_2 12.0995
