GB Experimento Ambiente Tempo
15 1 kvm 11.2715
15 2 kvm 5.99963
15 3 kvm 6.19527
15 4 kvm 6.22495
15 5 kvm 6.24463
15 6 kvm 6.08533
15 7 kvm 6.14519
15 8 kvm 6.05836
15 9 kvm 6.22296
15 10 kvm 6.71627
15 11 kvm 6.52174
15 12 kvm 6.16419
15 13 kvm 5.77935
15 14 kvm 5.72799
15 15 kvm 5.76434
15 16 kvm 5.67628
15 17 kvm 6.43955
15 18 kvm 6.11948
15 19 kvm 5.82793
15 20 kvm 6.54085
15 21 kvm 6.75452
15 22 kvm 6.30133
15 23 kvm 6.73643
15 24 kvm 6.39452
15 25 kvm 6.80932
15 26 kvm 7.41256
15 27 kvm 6.44598
15 28 kvm 6.52537
15 29 kvm 6.35117
15 30 kvm 5.30719
30 1 kvm 29.9882
30 2 kvm 17.1545
30 3 kvm 12.7908
30 4 kvm 12.1874
30 5 kvm 11.8702
30 6 kvm 12.0959
30 7 kvm 12.1264
30 8 kvm 12.133
30 9 kvm 12.1235
30 10 kvm 12.1841
30 11 kvm 12.1268
30 12 kvm 12.0125
30 13 kvm 12.1038
30 14 kvm 12.088
30 15 kvm 11.982
30 16 kvm 11.824
30 17 kvm 12.0173
30 18 kvm 11.859
30 19 kvm 12.3466
30 20 kvm 12.3161
30 21 kvm 12.1133
30 22 kvm 11.9527
30 23 kvm 11.8867
30 24 kvm 12.101
30 25 kvm 12.2007
30 26 kvm 12.1737
30 27 kvm 12.1405
30 28 kvm 11.9989
30 29 kvm 11.9572
30 30 kvm 12.287
50 1 kvm 59.4381
50 2 kvm 22.0866
50 3 kvm 22.5042
50 4 kvm 22.5233
50 5 kvm 21.7607
50 6 kvm 20.5875
50 7 kvm 22.3776
50 8 kvm 21.8582
50 9 kvm 22.39
50 10 kvm 20.8158
50 11 kvm 20.502
50 12 kvm 21.7631
50 13 kvm 21.6164
50 14 kvm 21.679
50 15 kvm 21.5627
50 16 kvm 21.3131
50 17 kvm 21.5526
50 18 kvm 21.7129
50 19 kvm 21.6675
50 20 kvm 21.5442
50 21 kvm 21.8466
50 22 kvm 21.5101
50 23 kvm 22.1367
50 24 kvm 21.2119
50 25 kvm 22.7806
50 26 kvm 21.4168
50 27 kvm 24.1586
50 28 kvm 21.648
50 29 kvm 22.2393
50 30 kvm 21.3564
15 1 nativo 5.18859
15 2 nativo 5.17438
15 3 nativo 5.18309
15 4 nativo 5.1724
15 5 nativo 5.17855
15 6 nativo 5.17947
15 7 nativo 5.18448
15 8 nativo 5.18124
15 9 nativo 5.19188
15 10 nativo 5.18199
15 11 nativo 5.17949
15 12 nativo 5.18736
15 13 nativo 5.1855
15 14 nativo 5.16988
15 15 nativo 5.18538
15 16 nativo 5.18198
15 17 nativo 5.17856
15 18 nativo 5.18077
15 19 nativo 5.18444
15 20 nativo 5.18464
15 21 nativo 5.18049
15 22 nativo 5.18251
15 23 nativo 5.18121
15 24 nativo 5.17835
15 25 nativo 5.18165
15 26 nativo 5.18271
15 27 nativo 5.20378
15 28 nativo 5.18287
15 29 nativo 5.18155
15 30 nativo 5.18849
30 1 nativo 11.9289
30 2 nativo 11.9108
30 3 nativo 11.9032
30 4 nativo 11.9172
30 5 nativo 11.9106
30 6 nativo 11.9293
30 7 nativo 11.9187
30 8 nativo 11.9053
30 9 nativo 11.9344
30 10 nativo 11.938
30 11 nativo 11.9382
30 12 nativo 11.9308
30 13 nativo 11.9169
30 14 nativo 11.9244
30 15 nativo 11.9359
30 16 nativo 11.9187
30 17 nativo 11.9309
30 18 nativo 11.9311
30 19 nativo 11.9153
30 20 nativo 11.9175
30 21 nativo 11.9165
30 22 nativo 11.9096
30 23 nativo 11.9057
30 24 nativo 11.9257
30 25 nativo 11.9382
30 26 nativo 11.9258
30 27 nativo 11.9168
30 28 nativo 11.9147
30 29 nativo 11.917
30 30 nativo 11.9412
50 1 nativo 21.5244
50 2 nativo 21.4881
50 3 nativo 21.4143
50 4 nativo 21.4196
50 5 nativo 21.4905
50 6 nativo 21.3943
50 7 nativo 21.4663
50 8 nativo 21.505
50 9 nativo 21.4282
50 10 nativo 21.4587
50 11 nativo 21.507
50 12 nativo 21.4219
50 13 nativo 21.4367
50 14 nativo 21.4326
50 15 nativo 21.4022
50 16 nativo 21.4926
50 17 nativo 21.4507
50 18 nativo 21.4038
50 19 nativo 21.5002
50 20 nativo 21.4315
50 21 nativo 21.4338
50 22 nativo 21.522
