GB Experimento Ambiente Tempo
15 1 kvm_2 2.56054
15 2 kvm_2 2.36478
15 3 kvm_2 2.34417
15 4 kvm_2 2.3701
15 5 kvm_2 2.36328
15 6 kvm_2 2.3763
15 7 kvm_2 2.36825
15 8 kvm_2 2.36819
15 9 kvm_2 2.36282
15 10 kvm_2 2.36224
15 11 kvm_2 2.35342
15 12 kvm_2 2.52238
15 13 kvm_2 2.35908
15 14 kvm_2 2.35818
15 15 kvm_2 2.36125
15 16 kvm_2 2.36078
15 17 kvm_2 2.36189
15 18 kvm_2 2.35936
15 19 kvm_2 2.29314
15 20 kvm_2 2.36864
15 21 kvm_2 2.36469
15 22 kvm_2 2.36157
15 23 kvm_2 2.36646
15 24 kvm_2 2.36224
15 25 kvm_2 2.3671
15 26 kvm_2 2.36536
15 27 kvm_2 2.36633
15 28 kvm_2 2.3626
15 29 kvm_2 2.36929
15 30 kvm_2 2.36226
30 1 kvm_2 5.47303
30 2 kvm_2 4.43798
30 3 kvm_2 5.06306
30 4 kvm_2 4.42849
30 5 kvm_2 4.42593
30 6 kvm_2 4.40335
30 7 kvm_2 4.41968
30 8 kvm_2 4.41048
30 9 kvm_2 4.42129
30 10 kvm_2 4.41635
30 11 kvm_2 4.40875
30 12 kvm_2 4.41401
30 13 kvm_2 4.40702
30 14 kvm_2 4.4273
30 15 kvm_2 4.43065
30 16 kvm_2 4.43064
30 17 kvm_2 4.40303
30 18 kvm_2 4.41664
30 19 kvm_2 4.40959
30 20 kvm_2 4.40257
30 21 kvm_2 4.40275
30 22 kvm_2 4.40536
30 23 kvm_2 4.42286
30 24 kvm_2 4.42884
30 25 kvm_2 5.05934
30 26 kvm_2 4.4676
30 27 kvm_2 4.93561
30 28 kvm_2 5.06164
30 29 kvm_2 4.67692
30 30 kvm_2 4.58435
15 1 xen_2 2.82545
15 2 xen_2 2.64011
15 3 xen_2 2.35575
15 4 xen_2 2.36428
15 5 xen_2 2.23461
15 6 xen_2 2.35635
15 7 xen_2 2.35353
15 8 xen_2 2.23891
15 9 xen_2 2.47579
15 10 xen_2 2.33472
15 11 xen_2 2.48403
15 12 xen_2 2.22699
15 13 xen_2 2.22757
15 14 xen_2 2.23435
15 15 xen_2 2.65563
15 16 xen_2 2.6009
15 17 xen_2 2.27247
15 18 xen_2 2.65476
15 19 xen_2 2.53183
15 20 xen_2 2.26308
15 21 xen_2 2.64321
15 22 xen_2 2.48521
15 23 xen_2 2.24982
15 24 xen_2 2.62155
15 25 xen_2 2.59073
15 26 xen_2 2.61402
15 27 xen_2 2.50132
15 28 xen_2 2.60554
15 29 xen_2 2.26095
15 30 xen_2 2.32569
30 1 xen_2 5.44018
30 2 xen_2 4.97915
30 3 xen_2 4.39029
30 4 xen_2 4.85713
30 5 xen_2 4.58789
30 6 xen_2 5.20977
30 7 xen_2 4.53605
30 8 xen_2 5.26755
30 9 xen_2 4.83249
30 10 xen_2 4.95818
30 11 xen_2 5.12437
30 12 xen_2 4.93364
30 13 xen_2 4.54718
30 14 xen_2 4.82844
30 15 xen_2 4.49562
30 16 xen_2 4.75165
30 17 xen_2 5.13489
30 18 xen_2 4.54776
30 19 xen_2 4.88346
30 20 xen_2 4.7317
30 21 xen_2 4.7202
30 22 xen_2 4.46395
30 23 xen_2 4.60592
30 24 xen_2 5.0214
30 25 xen_2 4.97942
30 26 xen_2 5.02356
30 27 xen_2 4.36458
30 28 xen_2 4.40871
30 29 xen_2 5.0236
30 30 xen_2 4.40265
