GB Experimento Ambiente Tempo
15 1 kvm 9.6956
15 2 kvm 15.9314
15 3 kvm 12.7511
15 4 kvm 5.62455
15 5 kvm 3.25339
15 6 kvm 2.43562
15 7 kvm 2.18007
15 8 kvm 2.16355
15 9 kvm 2.16424
15 10 kvm 2.16746
15 11 kvm 2.16067
15 12 kvm 2.29937
15 13 kvm 2.28271
15 14 kvm 2.18237
15 15 kvm 2.1756
15 16 kvm 2.19164
15 17 kvm 2.25877
15 18 kvm 2.19899
15 19 kvm 2.36577
15 20 kvm 2.17918
15 21 kvm 2.35741
15 22 kvm 2.26986
15 23 kvm 2.35466
15 24 kvm 2.3439
15 25 kvm 2.3442
15 26 kvm 2.18145
15 27 kvm 2.36976
15 28 kvm 2.1724
15 29 kvm 2.37561
15 30 kvm 2.22786
30 1 kvm 5.47303
30 2 kvm 4.43798
30 3 kvm 5.06306
30 4 kvm 4.42849
30 5 kvm 4.42593
30 6 kvm 4.40335
30 7 kvm 4.41968
30 8 kvm 4.41048
30 9 kvm 4.42129
30 10 kvm 4.41635
30 11 kvm 4.40875
30 12 kvm 4.41401
30 13 kvm 4.40702
30 14 kvm 4.4273
30 15 kvm 4.43065
30 16 kvm 4.43064
30 17 kvm 4.40303
30 18 kvm 4.41664
30 19 kvm 4.40959
30 20 kvm 4.40257
30 21 kvm 4.40275
30 22 kvm 4.40536
30 23 kvm 4.42286
30 24 kvm 4.42884
30 25 kvm 5.05934
30 26 kvm 4.4676
30 27 kvm 4.93561
30 28 kvm 5.06164
30 29 kvm 4.67692
30 30 kvm 4.58435
50 1 kvm 9.39127
50 2 kvm 8.04431
50 3 kvm 8.02183
50 4 kvm 8.03701
50 5 kvm 7.93917
50 6 kvm 8.41285
50 7 kvm 7.93438
50 8 kvm 8.3349
50 9 kvm 8.42649
50 10 kvm 7.95412
50 11 kvm 8.12623
50 12 kvm 8.03508
50 13 kvm 8.3169
50 14 kvm 7.92578
50 15 kvm 8.68047
50 16 kvm 8.15491
50 17 kvm 8.87589
50 18 kvm 8.32556
50 19 kvm 8.17269
50 20 kvm 8.46428
50 21 kvm 7.95953
50 22 kvm 8.2902
50 23 kvm 8.03478
50 24 kvm 7.92597
50 25 kvm 7.92686
50 26 kvm 8.21456
50 27 kvm 8.31455
50 28 kvm 8.43168
50 29 kvm 8.09102
50 30 kvm 8.06364
15 1 nativo 3.28345
15 2 nativo 2.71014
15 3 nativo 2.68287
15 4 nativo 2.68243
15 5 nativo 2.68323
15 6 nativo 2.68292
15 7 nativo 2.67909
15 8 nativo 2.68406
15 9 nativo 2.69011
15 10 nativo 2.68432
15 11 nativo 2.68498
15 12 nativo 2.6814
15 13 nativo 2.68047
15 14 nativo 2.683
15 15 nativo 2.68012
15 16 nativo 2.68118
15 17 nativo 2.68172
15 18 nativo 2.68217
15 19 nativo 2.68056
15 20 nativo 2.68042
15 21 nativo 2.67877
15 22 nativo 2.68229
15 23 nativo 2.68284
15 24 nativo 2.68045
15 25 nativo 2.68303
15 26 nativo 2.68247
15 27 nativo 2.68091
15 28 nativo 2.68011
15 29 nativo 2.67973
15 30 nativo 2.68079
30 1 nativo 4.1466
30 2 nativo 3.691
30 3 nativo 3.67092
30 4 nativo 3.65041
30 5 nativo 3.65519
30 6 nativo 3.65073
30 7 nativo 3.65191
30 8 nativo 3.64847
30 9 nativo 3.65408
30 10 nativo 3.65393
30 11 nativo 3.65329
30 12 nativo 3.65009
30 13 nativo 3.65163
30 14 nativo 3.64984
30 15 nativo 3.65688
30 16 nativo 3.64945
30 17 nativo 3.64746
30 18 nativo 3.64879
30 19 nativo 3.65222
30 20 nativo 3.64884
30 21 nativo 3.6488
30 22 nativo 3.65043
30 23 nativo 3.65398
30 24 nativo 3.6523
30 25 nativo 3.6483
30 26 nativo 3.66406
30 27 nativo 3.68234
30 28 nativo 3.65596
30 29 nativo 3.65752
30 30 nativo 3.65301
50 1 nativo 9.54053
50 2 nativo 8.34152
50 3 nativo 8.24273
50 4 nativo 8.24815
50 5 nativo 8.25738
50 6 nativo 8.24766
50 7 nativo 8.24362
50 8 nativo 8.25134
50 9 nativo 8.25384
50 10 nativo 8.2364
50 11 nativo 8.2455
50 12 nativo 8.24858
50 13 nativo 8.25867
50 14 nativo 8.25434
50 15 nativo 8.24546
50 16 nativo 8.25033
50 17 nativo 8.24705
50 18 nativo 8.27156
50 19 nativo 8.2605
50 20 nativo 8.25871
50 21 nativo 8.26366
50 22 nativo 8.25388
50 23 nativo 8.2587
50 24 nativo 8.25534
50 25 nativo 8.25434
50 26 nativo 8.24893
50 27 nativo 8.24259
50 28 nativo 8.25893
50 29 nativo 8.26732
50 30 nativo 8.25582
15 1 xen_1 2.84501
15 2 xen_1 2.53811
15 3 xen_1 2.51301
15 4 xen_1 2.40008
15 5 xen_1 2.45013
15 6 xen_1 2.47806
15 7 xen_1 2.49234
15 8 xen_1 2.44391
15 9 xen_1 2.44712
15 10 xen_1 2.52532
15 11 xen_1 2.5068
15 12 xen_1 2.51133
15 13 xen_1 2.51144
15 14 xen_1 2.45217
15 15 xen_1 2.47853
15 16 xen_1 2.4571
15 17 xen_1 2.49352
15 18 xen_1 2.50774
15 19 xen_1 2.47174
15 20 xen_1 2.44978
15 21 xen_1 2.48256
15 22 xen_1 2.47329
15 23 xen_1 2.51562
15 24 xen_1 2.46981
15 25 xen_1 2.44295
15 26 xen_1 2.4632
15 27 xen_1 2.47064
15 28 xen_1 2.53159
15 29 xen_1 2.47449
15 30 xen_1 2.52573
30 1 xen_1 5.57382
30 2 xen_1 5.02058
30 3 xen_1 4.93537
30 4 xen_1 4.92561
30 5 xen_1 4.89173
30 6 xen_1 4.98277
30 7 xen_1 4.93017
30 8 xen_1 5.00778
30 9 xen_1 4.92943
30 10 xen_1 4.70253
30 11 xen_1 4.8805
30 12 xen_1 4.88278
30 13 xen_1 4.89394
30 14 xen_1 4.8783
30 15 xen_1 4.99077
30 16 xen_1 4.98559
30 17 xen_1 4.85823
30 18 xen_1 5.00385
30 19 xen_1 4.99882
30 20 xen_1 4.94827
30 21 xen_1 4.8954
30 22 xen_1 4.98984
30 23 xen_1 4.96985
30 24 xen_1 5.01679
30 25 xen_1 4.94657
30 26 xen_1 4.92848
30 27 xen_1 4.94848
30 28 xen_1 5.01027
30 29 xen_1 4.93044
30 30 xen_1 4.92901
50 1 xen_1 8.36839
50 2 xen_1 7.67935
50 3 xen_1 7.77327
50 4 xen_1 8.7681
50 5 xen_1 8.30651
50 6 xen_1 8.18029
50 7 xen_1 8.07499
50 8 xen_1 8.34985
50 9 xen_1 8.301
50 10 xen_1 8.25211
50 11 xen_1 8.33824
50 12 xen_1 8.34877
50 13 xen_1 8.09093
50 14 xen_1 8.27306
50 15 xen_1 8.21441
50 16 xen_1 8.31359
50 17 xen_1 8.21926
50 18 xen_1 8.19303
50 19 xen_1 8.26346
50 20 xen_1 8.16096
50 21 xen_1 8.33499
50 22 xen_1 8.20354
50 23 xen_1 8.26662
50 24 xen_1 8.30966
50 25 xen_1 8.21377
50 26 xen_1 8.1993
50 27 xen_1 8.12197
50 28 xen_1 8.13458
50 29 xen_1 8.36848
50 30 xen_1 8.17547
