CPUs Experimento Ambiente Tempo
1 1 kvm_1 .1159
1 2 kvm_1 .1153
1 3 kvm_1 .1117
1 4 kvm_1 .1158
1 5 kvm_1 .1159
1 6 kvm_1 .1152
1 7 kvm_1 .1174
1 8 kvm_1 .1156
1 9 kvm_1 .1126
1 10 kvm_1 .1119
1 11 kvm_1 .1152
1 12 kvm_1 .1152
1 13 kvm_1 .1156
1 14 kvm_1 .1151
1 15 kvm_1 .1161
1 16 kvm_1 .1170
1 17 kvm_1 .1155
1 18 kvm_1 .1120
1 19 kvm_1 .1156
1 20 kvm_1 .1158
1 21 kvm_1 .1149
1 22 kvm_1 .1157
1 23 kvm_1 .1159
1 24 kvm_1 .1154
1 25 kvm_1 .1157
1 26 kvm_1 .1161
1 27 kvm_1 .1159
1 28 kvm_1 .1151
1 29 kvm_1 .1159
1 30 kvm_1 .1156
2 1 kvm_1 .2356
2 2 kvm_1 .2336
2 3 kvm_1 .2308
2 4 kvm_1 .2330
2 5 kvm_1 .2319
2 6 kvm_1 .2288
2 7 kvm_1 .2313
2 8 kvm_1 .2346
2 9 kvm_1 .2353
2 10 kvm_1 .2322
2 11 kvm_1 .2312
2 12 kvm_1 .2306
2 13 kvm_1 .2317
2 14 kvm_1 .2322
2 15 kvm_1 .2321
2 16 kvm_1 .2316
2 17 kvm_1 .2323
2 18 kvm_1 .2321
2 19 kvm_1 .2305
2 20 kvm_1 .2326
2 21 kvm_1 .2328
2 22 kvm_1 .2321
2 23 kvm_1 .2328
2 24 kvm_1 .2303
2 25 kvm_1 .2323
2 26 kvm_1 .2312
2 27 kvm_1 .2313
2 28 kvm_1 .2304
2 29 kvm_1 .2263
2 30 kvm_1 .2322
4 1 kvm_1 .4619
4 2 kvm_1 .4633
4 3 kvm_1 .4636
4 4 kvm_1 .4634
4 5 kvm_1 .4578
4 6 kvm_1 .4538
4 7 kvm_1 .4582
4 8 kvm_1 .4571
4 9 kvm_1 .4460
4 10 kvm_1 .4611
4 11 kvm_1 .4607
4 12 kvm_1 .4632
4 13 kvm_1 .4624
4 14 kvm_1 .4653
4 15 kvm_1 .4535
4 16 kvm_1 .4603
4 17 kvm_1 .4540
4 18 kvm_1 .4590
4 19 kvm_1 .4597
4 20 kvm_1 .4600
4 21 kvm_1 .4589
4 22 kvm_1 .4569
4 23 kvm_1 .4581
4 24 kvm_1 .4624
4 25 kvm_1 .4609
4 26 kvm_1 .4589
4 27 kvm_1 .4580
4 28 kvm_1 .4546
4 29 kvm_1 .4515
4 30 kvm_1 .4604
8 1 kvm_1 .9129
8 2 kvm_1 .9179
8 3 kvm_1 .9162
8 4 kvm_1 .9146
8 5 kvm_1 .9163
8 6 kvm_1 .9156
8 7 kvm_1 .9055
8 8 kvm_1 .9122
8 9 kvm_1 .9083
8 10 kvm_1 .9108
8 11 kvm_1 .9101
8 12 kvm_1 .9119
8 13 kvm_1 .9118
8 14 kvm_1 .9107
8 15 kvm_1 .9114
8 16 kvm_1 .9064
8 17 kvm_1 .9097
8 18 kvm_1 .8976
8 19 kvm_1 .9042
8 20 kvm_1 .9093
8 21 kvm_1 .9123
8 22 kvm_1 .9060
8 23 kvm_1 .9128
8 24 kvm_1 .9148
8 25 kvm_1 .9150
8 26 kvm_1 .9153
8 27 kvm_1 .9143
8 28 kvm_1 .9127
8 29 kvm_1 .9166
8 30 kvm_1 .9188
10 1 kvm_1 1.1404
10 2 kvm_1 1.1420
10 3 kvm_1 1.1370
10 4 kvm_1 1.1224
10 5 kvm_1 1.1370
10 6 kvm_1 1.1288
10 7 kvm_1 1.1343
10 8 kvm_1 1.1299
10 9 kvm_1 1.1414
10 10 kvm_1 1.1339
10 11 kvm_1 1.1272
10 12 kvm_1 1.1345
10 13 kvm_1 1.1377
10 14 kvm_1 1.1241
10 15 kvm_1 1.1274
10 16 kvm_1 1.1325
10 17 kvm_1 1.1342
10 18 kvm_1 1.1327
10 19 kvm_1 1.1375
10 20 kvm_1 1.1339
10 21 kvm_1 1.1220
10 22 kvm_1 1.1335
10 23 kvm_1 1.1310
10 24 kvm_1 1.1193
10 25 kvm_1 1.1329
10 26 kvm_1 1.1346
10 27 kvm_1 1.1313
10 28 kvm_1 1.1378
10 29 kvm_1 1.1306
10 30 kvm_1 1.1269
16 1 kvm_1 1.8094
16 2 kvm_1 1.7997
16 3 kvm_1 1.7106
16 4 kvm_1 1.7014
16 5 kvm_1 1.7549
16 6 kvm_1 1.7484
16 7 kvm_1 1.8085
16 8 kvm_1 1.7709
16 9 kvm_1 1.6367
16 10 kvm_1 1.7900
16 11 kvm_1 1.6110
16 12 kvm_1 1.7234
16 13 kvm_1 1.8001
16 14 kvm_1 1.7900
16 15 kvm_1 1.7304
16 16 kvm_1 1.6399
16 17 kvm_1 1.6934
16 18 kvm_1 1.7941
16 19 kvm_1 1.7876
16 20 kvm_1 1.8062
16 21 kvm_1 1.7972
16 22 kvm_1 1.6997
16 23 kvm_1 1.6356
16 24 kvm_1 1.7474
16 25 kvm_1 1.8171
16 26 kvm_1 1.7220
16 27 kvm_1 1.7444
16 28 kvm_1 1.7835
16 29 kvm_1 1.6544
16 30 kvm_1 1.7578
20 1 kvm_1 2.1363
20 2 kvm_1 2.1979
20 3 kvm_1 2.2349
20 4 kvm_1 2.0970
20 5 kvm_1 2.0815
20 6 kvm_1 2.2373
20 7 kvm_1 2.1809
20 8 kvm_1 2.2156
20 9 kvm_1 2.2455
20 10 kvm_1 2.1619
20 11 kvm_1 2.2153
20 12 kvm_1 2.2371
20 13 kvm_1 2.0470
20 14 kvm_1 2.2483
20 15 kvm_1 2.2168
20 16 kvm_1 2.2469
20 17 kvm_1 2.2240
20 18 kvm_1 2.0266
20 19 kvm_1 2.0676
20 20 kvm_1 2.1730
20 21 kvm_1 2.0578
20 22 kvm_1 2.2341
20 23 kvm_1 2.2335
20 24 kvm_1 2.1974
20 25 kvm_1 2.1506
20 26 kvm_1 2.1547
20 27 kvm_1 2.2404
20 28 kvm_1 1.8641
20 29 kvm_1 2.2380
20 30 kvm_1 1.7916
32 1 kvm_1 1.8972
32 2 kvm_1 1.9679
32 3 kvm_1 1.9898
32 4 kvm_1 1.8335
32 5 kvm_1 1.9000
32 6 kvm_1 1.9159
32 7 kvm_1 1.9785
32 8 kvm_1 1.9022
32 9 kvm_1 1.9229
32 10 kvm_1 1.9691
32 11 kvm_1 1.9507
32 12 kvm_1 1.8485
32 13 kvm_1 1.9519
32 14 kvm_1 1.9903
32 15 kvm_1 2.0162
32 16 kvm_1 1.7901
32 17 kvm_1 1.8407
32 18 kvm_1 1.9424
32 19 kvm_1 1.9700
32 20 kvm_1 1.9870
32 21 kvm_1 1.9021
32 22 kvm_1 1.8663
32 23 kvm_1 1.9876
32 24 kvm_1 1.9937
32 25 kvm_1 1.9840
32 26 kvm_1 1.9243
32 27 kvm_1 1.8795
32 28 kvm_1 1.9575
32 29 kvm_1 1.9507
32 30 kvm_1 1.9710
40 1 kvm_1 2.5429
40 2 kvm_1 2.5439
40 3 kvm_1 2.5383
40 4 kvm_1 2.5567
40 5 kvm_1 2.5225
40 6 kvm_1 2.5414
40 7 kvm_1 2.5641
40 8 kvm_1 2.4773
40 9 kvm_1 2.4137
40 10 kvm_1 2.5393
40 11 kvm_1 2.5274
40 12 kvm_1 2.4433
40 13 kvm_1 2.4697
40 14 kvm_1 2.5365
40 15 kvm_1 2.5214
40 16 kvm_1 2.3494
40 17 kvm_1 2.5426
40 18 kvm_1 2.4718
40 19 kvm_1 2.5447
40 20 kvm_1 2.5122
40 21 kvm_1 2.5542
40 22 kvm_1 2.4278
40 23 kvm_1 2.5362
40 24 kvm_1 2.4486
40 25 kvm_1 2.5323
40 26 kvm_1 2.4001
40 27 kvm_1 2.5443
40 28 kvm_1 2.5498
40 29 kvm_1 2.5494
40 30 kvm_1 2.3483
1 1 xen-1 .1336
1 2 xen-1 .1346
1 3 xen-1 .1342
1 4 xen-1 .1316
1 5 xen-1 .1340
1 6 xen-1 .1343
1 7 xen-1 .1342
1 8 xen-1 .1344
1 9 xen-1 .1346
1 10 xen-1 .1336
1 11 xen-1 .1345
1 12 xen-1 .1347
1 13 xen-1 .1336
1 14 xen-1 .1346
1 15 xen-1 .1332
1 16 xen-1 .1322
1 17 xen-1 .1319
1 18 xen-1 .1325
1 19 xen-1 .1345
1 20 xen-1 .1322
1 21 xen-1 .1323
1 22 xen-1 .1352
1 23 xen-1 .1346
1 24 xen-1 .1328
1 25 xen-1 .1341
1 26 xen-1 .1314
1 27 xen-1 .1323
1 28 xen-1 .1325
1 29 xen-1 .1327
1 30 xen-1 .1320
2 1 xen-1 .2568
2 2 xen-1 .2635
2 3 xen-1 .2678
2 4 xen-1 .2588
2 5 xen-1 .2571
2 6 xen-1 .2584
2 7 xen-1 .2594
2 8 xen-1 .2569
2 9 xen-1 .2589
2 10 xen-1 .2572
2 11 xen-1 .2535
2 12 xen-1 .2553
2 13 xen-1 .2563
2 14 xen-1 .2555
2 15 xen-1 .2551
2 16 xen-1 .2540
2 17 xen-1 .2557
2 18 xen-1 .2592
2 19 xen-1 .2559
2 20 xen-1 .2586
2 21 xen-1 .2569
2 22 xen-1 .2579
2 23 xen-1 .2654
2 24 xen-1 .2561
2 25 xen-1 .2674
2 26 xen-1 .2594
2 27 xen-1 .2586
2 28 xen-1 .2560
2 29 xen-1 .2548
2 30 xen-1 .2544
4 1 xen-1 .4984
4 2 xen-1 .5009
4 3 xen-1 .5022
4 4 xen-1 .5026
4 5 xen-1 .5032
4 6 xen-1 .5045
4 7 xen-1 .5037
4 8 xen-1 .5052
4 9 xen-1 .5053
4 10 xen-1 .5048
