CPUs Experimento Ambiente Tempo
1 1 kvm_1 .1178
1 2 kvm_1 .1178
1 3 kvm_1 .1163
1 4 kvm_1 .1175
1 5 kvm_1 .1163
1 6 kvm_1 .1162
1 7 kvm_1 .1158
1 8 kvm_1 .1163
1 9 kvm_1 .1152
1 10 kvm_1 .1169
1 11 kvm_1 .1160
1 12 kvm_1 .1160
1 13 kvm_1 .1171
1 14 kvm_1 .1166
1 15 kvm_1 .1168
1 16 kvm_1 .1160
1 17 kvm_1 .1161
1 18 kvm_1 .1169
1 19 kvm_1 .1176
1 20 kvm_1 .1149
1 21 kvm_1 .1173
1 22 kvm_1 .1168
1 23 kvm_1 .1144
1 24 kvm_1 .1166
1 25 kvm_1 .1168
1 26 kvm_1 .1151
1 27 kvm_1 .1170
1 28 kvm_1 .1180
1 29 kvm_1 .1154
1 30 kvm_1 .1179
2 1 kvm_1 .2315
2 2 kvm_1 .2308
2 3 kvm_1 .2302
2 4 kvm_1 .2323
2 5 kvm_1 .2329
2 6 kvm_1 .2323
2 7 kvm_1 .2332
2 8 kvm_1 .2315
2 9 kvm_1 .2315
2 10 kvm_1 .2314
2 11 kvm_1 .2319
2 12 kvm_1 .2299
2 13 kvm_1 .2310
2 14 kvm_1 .2307
2 15 kvm_1 .2321
2 16 kvm_1 .2327
2 17 kvm_1 .2326
2 18 kvm_1 .2325
2 19 kvm_1 .2313
2 20 kvm_1 .2318
2 21 kvm_1 .2331
2 22 kvm_1 .2309
2 23 kvm_1 .2299
2 24 kvm_1 .2317
2 25 kvm_1 .2334
2 26 kvm_1 .2308
2 27 kvm_1 .2313
2 28 kvm_1 .2320
2 29 kvm_1 .2320
2 30 kvm_1 .2315
4 1 kvm_1 .4593
4 2 kvm_1 .4599
4 3 kvm_1 .4577
4 4 kvm_1 .4553
4 5 kvm_1 .4615
4 6 kvm_1 .4576
4 7 kvm_1 .4589
4 8 kvm_1 .4636
4 9 kvm_1 .4635
4 10 kvm_1 .4631
4 11 kvm_1 .4624
4 12 kvm_1 .4647
4 13 kvm_1 .4571
4 14 kvm_1 .4568
4 15 kvm_1 .4600
