CPUs Experimento Ambiente Tempo Disco
1 1 nativo 967.69 1379509548
1 2 nativo 969.31 1379509548
1 3 nativo 968.77 1379509548
1 4 nativo 968.96 1379509548
1 5 nativo 968.99 1379509548
1 6 nativo 969.27 1379509548
1 7 nativo 971.24 1379509548
1 8 nativo 966.84 1379509548
1 9 nativo 970.68 1379509548
1 10 nativo 968.18 1379509548
1 11 nativo 968.85 1379509548
1 12 nativo 970.28 1379509548
1 13 nativo 967.88 1379509548
1 14 nativo 966.78 1379509548
1 15 nativo 965.14 1379509548
1 16 nativo 966.71 1379509548
1 17 nativo 968.35 1379509548
1 18 nativo 967.81 1379509548
1 19 nativo 968.43 1379509548
1 20 nativo 964.85 1379509548
1 21 nativo 967.35 1379509548
1 22 nativo 969.27 1379509548
1 23 nativo 971.10 1379509548
1 24 nativo 965.64 1379509548
1 25 nativo 967.78 1379509548
1 26 nativo 967.87 1379509548
1 27 nativo 967.55 1379509548
1 28 nativo 966.89 1379509548
1 29 nativo 966.78 1379509548
1 30 nativo 968.69 1379509548
2 1 nativo 489.02 1379509548
2 2 nativo 491.08 1379689564
2 3 nativo 492.22 1379509548
2 4 nativo 492.56 1379509548
2 5 nativo 492.13 1379509548
2 6 nativo 491.53 1379509548
2 7 nativo 489.94 1379509548
2 8 nativo 490.99 1379509548
2 9 nativo 491.17 1379689564
2 10 nativo 492.27 1379509548
2 11 nativo 490.67 1379509548
2 12 nativo 492.95 1379689564
2 13 nativo 492.06 1379689564
2 14 nativo 492.04 1379509548
2 15 nativo 491.56 1379509548
2 16 nativo 491.99 1379689564
2 17 nativo 491.18 1379689564
2 18 nativo 490.96 1379509548
2 19 nativo 492.07 1379509548
2 20 nativo 492.04 1379509548
2 21 nativo 491.76 1379509548
2 22 nativo 492.02 1379509548
2 23 nativo 493.19 1379509548
2 24 nativo 492.30 1379689564
2 25 nativo 491.38 1379689564
2 26 nativo 492.30 1379509548
2 27 nativo 492.78 1379509548
2 28 nativo 492.72 1379689564
2 29 nativo 491.61 1379689564
2 30 nativo 492.10 1379509548
4 1 nativo 252.26 1379689564
4 2 nativo 252.03 1379869580
4 3 nativo 254.74 1379869580
4 4 nativo 252.20 1379869580
4 5 nativo 252.29 1379689564
4 6 nativo 252.06 1379689564
4 7 nativo 253.15 1380049596
4 8 nativo 252.04 1379869580
4 9 nativo 254.81 1379869580
4 10 nativo 252.64 1379869580
4 11 nativo 251.79 1379689564
4 12 nativo 252.01 1379689564
4 13 nativo 252.37 1379689564
4 14 nativo 251.87 1379689564
4 15 nativo 252.56 1379689564
4 16 nativo 252.22 1379689564
4 17 nativo 251.91 1379689564
4 18 nativo 252.48 1379869580
4 19 nativo 252.32 1379689564
4 20 nativo 252.03 1379869580
4 21 nativo 251.78 1379689564
4 22 nativo 251.85 1379689564
4 23 nativo 252.19 1379689564
4 24 nativo 252.70 1379689564
4 25 nativo 252.16 1379869580
4 26 nativo 253.75 1379689564
4 27 nativo 253.82 1379509548
4 28 nativo 252.38 1379689564
4 29 nativo 254.11 1379689564
4 30 nativo 252.98 1379869580
8 1 nativo 129.20 1379869580
8 2 nativo 129.21 1380049596
8 3 nativo 129.40 1380229612
8 4 nativo 129.56 1380229612
8 5 nativo 129.23 1380049596
8 6 nativo 129.19 1380049596
8 7 nativo 129.30 1380229612
8 8 nativo 129.57 1380409628
8 9 nativo 129.61 1380229612
8 10 nativo 129.49 1380229612
8 11 nativo 129.86 1380049596
8 12 nativo 130.25 1380049596
8 13 nativo 130.66 1380409628
8 14 nativo 129.49 1379869580
8 15 nativo 129.13 1380049596
8 16 nativo 129.35 1380049596
8 17 nativo 129.24 1380229612
8 18 nativo 131.04 1380049596
8 19 nativo 130.80 1380049596
8 20 nativo 129.73 1380049596
8 21 nativo 134.91 1380229612
8 22 nativo 129.33 1380229612
8 23 nativo 129.23 1380229612
8 24 nativo 129.09 1380049596
8 25 nativo 129.28 1379869580
8 26 nativo 130.64 1379869580
8 27 nativo 129.49 1380409628
8 28 nativo 129.47 1380229612
8 29 nativo 129.23 1380049596
8 30 nativo 129.32 1379869580
10 1 nativo 107.36 1380229612
10 2 nativo 109.29 1380229612
10 3 nativo 106.73 1380409628
10 4 nativo 106.85 1380229612
10 5 nativo 109.69 1380409628
10 6 nativo 111.39 1380589644
10 7 nativo 106.21 1380229612
10 8 nativo 106.33 1380589644
10 9 nativo 106.89 1380229612
10 10 nativo 106.54 1380409628
10 11 nativo 106.66 1380409628
10 12 nativo 106.47 1380409628
10 13 nativo 106.44 1380229612
10 14 nativo 106.53 1380049596
10 15 nativo 106.68 1380049596
10 16 nativo 107.73 1380229612
10 17 nativo 106.82 1380229612
10 18 nativo 106.28 1380049596
10 19 nativo 107.26 1380229612
10 20 nativo 106.35 1380409628
10 21 nativo 109.18 1380409628
10 22 nativo 106.38 1380409628
10 23 nativo 106.15 1380049596
10 24 nativo 107.20 1380229612
10 25 nativo 109.20 1380409628
10 26 nativo 108.82 1380049596
10 27 nativo 106.51 1380409628
10 28 nativo 106.42 1380229612
10 29 nativo 106.45 1380409628
10 30 nativo 106.39 1380409628
16 1 nativo 98.11 1380769660
16 2 nativo 98.45 1380949676
16 3 nativo 99.29 1380949676
16 4 nativo 101.29 1380949676
16 5 nativo 98.26 1380949676
16 6 nativo 98.25 1380949676
16 7 nativo 98.36 1380589644
16 8 nativo 99.10 1380769660
16 9 nativo 102.25 1381129692
16 10 nativo 98.19 1380769660
16 11 nativo 98.46 1381129692
16 12 nativo 98.13 1380769660
16 13 nativo 98.46 1380769660
16 14 nativo 98.47 1380589644
16 15 nativo 98.85 1380589644
16 16 nativo 98.37 1381129692
16 17 nativo 97.83 1380589644
16 18 nativo 98.17 1381309708
16 19 nativo 97.91 1380949676
16 20 nativo 103.89 1380949676
16 21 nativo 99.00 1380769660
16 22 nativo 98.50 1380769660
16 23 nativo 98.25 1380589644
16 24 nativo 98.32 1380949676
16 25 nativo 98.10 1380949676
16 26 nativo 98.87 1380769660
16 27 nativo 98.30 1380949676
16 28 nativo 98.28 1381129692
16 29 nativo 102.15 1380949676
16 30 nativo 98.51 1380949676
20 1 nativo 94.20 1381129692
20 2 nativo 94.91 1381129692
20 3 nativo 100.21 1381489724
