CPUs Experimento Ambiente Tempo
1 1 kvm 173.286
1 2 kvm 173.686
1 3 kvm 174.139
1 4 kvm 171.820
1 5 kvm 174.805
1 6 kvm 173.050
1 7 kvm 174.694
1 8 kvm 174.926
1 9 kvm 171.996
1 10 kvm 174.399
1 11 kvm 173.745
1 12 kvm 172.507
1 13 kvm 174.855
1 14 kvm 173.877
1 15 kvm 173.781
1 16 kvm 174.017
1 17 kvm 172.320
1 18 kvm 174.984
1 19 kvm 173.300
1 20 kvm 172.778
1 21 kvm 174.128
1 22 kvm 173.166
1 23 kvm 171.872
1 24 kvm 174.829
1 25 kvm 173.267
1 26 kvm 171.834
1 27 kvm 175.325
1 28 kvm 173.683
1 29 kvm 172.073
1 30 kvm 175.217
2 1 kvm 89.741
2 2 kvm 88.724
2 3 kvm 88.865
2 4 kvm 89.043
2 5 kvm 89.972
2 6 kvm 89.752
2 7 kvm 89.571
2 8 kvm 89.833
2 9 kvm 89.491
2 10 kvm 89.284
2 11 kvm 90.146
2 12 kvm 89.258
2 13 kvm 89.824
2 14 kvm 89.833
2 15 kvm 88.939
2 16 kvm 88.933
2 17 kvm 89.460
2 18 kvm 89.617
2 19 kvm 89.558
2 20 kvm 89.613
2 21 kvm 89.423
2 22 kvm 89.181
2 23 kvm 89.199
2 24 kvm 88.748
2 25 kvm 90.016
2 26 kvm 90.349
2 27 kvm 89.663
2 28 kvm 89.694
2 29 kvm 89.044
2 30 kvm 89.189
4 1 kvm 45.600
4 2 kvm 45.792
4 3 kvm 45.744
4 4 kvm 45.924
4 5 kvm 46.399
4 6 kvm 46.152
4 7 kvm 46.084
4 8 kvm 46.022
4 9 kvm 45.770
4 10 kvm 46.112
4 11 kvm 45.853
4 12 kvm 46.593
4 13 kvm 46.135
4 14 kvm 45.796
4 15 kvm 46.220
4 16 kvm 46.084
4 17 kvm 46.324
4 18 kvm 46.530
4 19 kvm 46.245
4 20 kvm 46.058
4 21 kvm 46.364
4 22 kvm 46.315
4 23 kvm 46.336
4 24 kvm 46.173
4 25 kvm 46.504
4 26 kvm 46.037
4 27 kvm 46.386
4 28 kvm 46.368
4 29 kvm 45.800
4 30 kvm 46.272
8 1 kvm 24.182
8 2 kvm 24.447
8 3 kvm 24.135
8 4 kvm 24.384
8 5 kvm 24.096
8 6 kvm 24.205
8 7 kvm 24.219
8 8 kvm 25.102
8 9 kvm 24.132
8 10 kvm 24.375
8 11 kvm 24.145
8 12 kvm 24.240
8 13 kvm 24.230
8 14 kvm 24.371
8 15 kvm 24.317
8 16 kvm 24.153
8 17 kvm 24.171
8 18 kvm 24.121
8 19 kvm 24.435
8 20 kvm 24.268
8 21 kvm 24.171
8 22 kvm 24.229
8 23 kvm 24.315
8 24 kvm 24.123
8 25 kvm 24.173
8 26 kvm 24.347
8 27 kvm 24.058
8 28 kvm 24.779
8 29 kvm 24.106
8 30 kvm 24.290
10 1 kvm 20.832
10 2 kvm 20.931
10 3 kvm 20.866
10 4 kvm 20.820
10 5 kvm 21.224
10 6 kvm 21.504
10 7 kvm 20.984
10 8 kvm 20.763
10 9 kvm 20.635
10 10 kvm 21.057
10 11 kvm 21.033
10 12 kvm 20.900
10 13 kvm 20.870
10 14 kvm 21.125
10 15 kvm 20.886
10 16 kvm 21.100
10 17 kvm 20.929
10 18 kvm 20.884
10 19 kvm 20.942
10 20 kvm 21.024
10 21 kvm 20.834
10 22 kvm 20.945
10 23 kvm 20.891
10 24 kvm 20.768
10 25 kvm 21.007
10 26 kvm 21.051
10 27 kvm 21.077
10 28 kvm 20.744
10 29 kvm 20.937
10 30 kvm 20.775
16 1 kvm 13.498
16 2 kvm 13.694
16 3 kvm 13.661
16 4 kvm 13.719
16 5 kvm 13.369
16 6 kvm 13.748
16 7 kvm 14.339
16 8 kvm 13.605
16 9 kvm 13.718
16 10 kvm 13.745
16 11 kvm 13.827
16 12 kvm 13.336
16 13 kvm 13.669
16 14 kvm 13.726
16 15 kvm 13.523
16 16 kvm 13.441
16 17 kvm 13.785
16 18 kvm 13.766
16 19 kvm 13.422
16 20 kvm 13.592
16 21 kvm 13.616
16 22 kvm 13.680
16 23 kvm 13.709
16 24 kvm 13.966
16 25 kvm 13.524
16 26 kvm 13.437
16 27 kvm 13.711
16 28 kvm 13.648
16 29 kvm 13.664
16 30 kvm 13.632
20 1 kvm 13.253
20 2 kvm 12.631
20 3 kvm 12.108
20 4 kvm 12.309
20 5 kvm 12.560
20 6 kvm 12.536
20 7 kvm 12.975
20 8 kvm 13.011
20 9 kvm 12.393
20 10 kvm 12.507
20 11 kvm 12.601
20 12 kvm 12.402
20 13 kvm 12.886
20 14 kvm 12.391
20 15 kvm 12.324
20 16 kvm 12.845
20 17 kvm 12.747
20 18 kvm 12.906
20 19 kvm 12.622
20 20 kvm 12.116
20 21 kvm 12.028
20 22 kvm 12.647
20 23 kvm 12.352
20 24 kvm 12.538
20 25 kvm 12.489
20 26 kvm 12.541
20 27 kvm 11.725
20 28 kvm 12.862
20 29 kvm 12.476
20 30 kvm 12.611
32 1 kvm 12.659
32 2 kvm 12.667
32 3 kvm 12.610
32 4 kvm 12.516
32 5 kvm 12.718
32 6 kvm 12.707
32 7 kvm 12.594
32 8 kvm 12.698
32 9 kvm 12.586
32 10 kvm 12.692
32 11 kvm 12.739
32 12 kvm 12.726
32 13 kvm 12.553
32 14 kvm 12.632
32 15 kvm 12.579
32 16 kvm 12.638
32 17 kvm 12.527
32 18 kvm 12.658
32 19 kvm 12.782
32 20 kvm 12.727
32 21 kvm 12.628
32 22 kvm 12.846
32 23 kvm 12.678
32 24 kvm 12.715
32 25 kvm 12.630
32 26 kvm 12.567
32 27 kvm 12.644
32 28 kvm 12.480
32 29 kvm 12.570
32 30 kvm 12.605
40 1 kvm 12.798
40 2 kvm 11.249
40 3 kvm 11.431
40 4 kvm 11.754
40 5 kvm 11.613
40 6 kvm 14.720
40 7 kvm 11.559
40 8 kvm 12.481
40 9 kvm 11.409
40 10 kvm 11.870
40 11 kvm 11.480
40 12 kvm 11.474
40 13 kvm 11.457
40 14 kvm 11.264
40 15 kvm 11.469
40 16 kvm 11.396
40 17 kvm 11.586
40 18 kvm 11.715
40 19 kvm 11.496
40 20 kvm 11.574
40 21 kvm 12.010
40 22 kvm 11.543
40 23 kvm 11.564
40 24 kvm 11.473
40 25 kvm 11.491
40 26 kvm 11.974
40 27 kvm 11.527
40 28 kvm 11.540
40 29 kvm 11.299
40 30 kvm 11.327
1 1 nativo 173.095
1 2 nativo 171.919
1 3 nativo 171.637
1 4 nativo 171.763
1 5 nativo 172.243
1 6 nativo 171.607
1 7 nativo 172.691
1 8 nativo 173.038
1 9 nativo 173.255
1 10 nativo 174.350
1 11 nativo 171.523
1 12 nativo 171.895
1 13 nativo 172.322
1 14 nativo 171.739
1 15 nativo 172.251
1 16 nativo 172.071
1 17 nativo 172.459
1 18 nativo 172.011
1 19 nativo 172.382
1 20 nativo 173.083
1 21 nativo 171.711
1 22 nativo 171.499
1 23 nativo 171.367
1 24 nativo 174.007
1 25 nativo 171.591
1 26 nativo 173.694
1 27 nativo 172.795
1 28 nativo 172.863
1 29 nativo 172.983
1 30 nativo 172.583
2 1 nativo 88.986
2 2 nativo 89.995
2 3 nativo 88.358
2 4 nativo 90.659
2 5 nativo 89.055
2 6 nativo 89.750
2 7 nativo 89.243
2 8 nativo 88.030
2 9 nativo 91.307
2 10 nativo 88.578
2 11 nativo 90.283
2 12 nativo 89.031
2 13 nativo 88.239
2 14 nativo 100.351
2 15 nativo 88.634
2 16 nativo 89.396
2 17 nativo 88.467
2 18 nativo 88.554
2 19 nativo 89.651
2 20 nativo 88.634
2 21 nativo 89.411
2 22 nativo 89.439
2 23 nativo 88.667
2 24 nativo 89.091
2 25 nativo 88.515
2 26 nativo 89.319
2 27 nativo 88.743
2 28 nativo 87.931
2 29 nativo 89.551
2 30 nativo 88.358
4 1 nativo 45.975
4 2 nativo 46.027
4 3 nativo 45.631
4 4 nativo 46.024
