CPUs Experimento Ambiente Tempo
1 1 kvm 174.666
1 2 kvm 173.461
1 3 kvm 174.203
1 4 kvm 174.120
1 5 kvm 172.649
1 6 kvm 174.363
1 7 kvm 173.485
1 8 kvm 173.076
1 9 kvm 174.387
1 10 kvm 173.207
1 11 kvm 173.452
1 12 kvm 174.041
1 13 kvm 173.377
1 14 kvm 172.443
1 15 kvm 173.617
1 16 kvm 172.904
1 17 kvm 174.646
1 18 kvm 174.313
1 19 kvm 173.712
1 20 kvm 172.227
1 21 kvm 173.788
1 22 kvm 174.197
1 23 kvm 172.442
1 24 kvm 173.536
1 25 kvm 173.117
1 26 kvm 173.311
1 27 kvm 173.757
1 28 kvm 172.756
1 29 kvm 173.951
1 30 kvm 173.285
2 1 kvm 89.119
2 2 kvm 89.875
2 3 kvm 90.717
2 4 kvm 90.222
2 5 kvm 89.905
2 6 kvm 89.349
2 7 kvm 89.058
2 8 kvm 89.272
2 9 kvm 88.744
2 10 kvm 89.057
2 11 kvm 88.460
2 12 kvm 89.299
2 13 kvm 89.752
2 14 kvm 90.132
2 15 kvm 89.572
2 16 kvm 89.318
2 17 kvm 88.274
2 18 kvm 90.057
2 19 kvm 89.771
2 20 kvm 89.385
2 21 kvm 89.436
2 22 kvm 89.186
2 23 kvm 89.013
2 24 kvm 89.814
2 25 kvm 90.097
2 26 kvm 89.852
2 27 kvm 90.102
2 28 kvm 88.841
2 29 kvm 88.720
2 30 kvm 88.757
4 1 kvm 46.074
4 2 kvm 46.039
4 3 kvm 46.076
4 4 kvm 45.831
4 5 kvm 46.229
4 6 kvm 46.033
4 7 kvm 46.549
4 8 kvm 46.241
4 9 kvm 45.941
4 10 kvm 46.020
4 11 kvm 45.620
4 12 kvm 46.219
4 13 kvm 46.076
4 14 kvm 46.135
4 15 kvm 46.480
4 16 kvm 45.950
4 17 kvm 46.093
4 18 kvm 46.259
4 19 kvm 46.337
4 20 kvm 45.735
4 21 kvm 46.058
4 22 kvm 45.679
4 23 kvm 45.620
4 24 kvm 46.184
4 25 kvm 45.808
4 26 kvm 45.889
4 27 kvm 46.472
4 28 kvm 46.120
4 29 kvm 45.855
4 30 kvm 46.176
8 1 kvm 24.220
8 2 kvm 24.088
8 3 kvm 24.093
8 4 kvm 24.208
8 5 kvm 24.194
8 6 kvm 25.779
8 7 kvm 24.305
8 8 kvm 24.113
8 9 kvm 24.171
8 10 kvm 24.228
8 11 kvm 24.106
8 12 kvm 24.090
8 13 kvm 24.258
8 14 kvm 24.118
8 15 kvm 24.116
8 16 kvm 24.239
8 17 kvm 24.095
8 18 kvm 24.209
8 19 kvm 24.089
8 20 kvm 24.212
8 21 kvm 24.062
8 22 kvm 24.208
8 23 kvm 24.347
8 24 kvm 24.106
8 25 kvm 24.245
8 26 kvm 24.198
8 27 kvm 24.318
8 28 kvm 24.096
8 29 kvm 24.252
8 30 kvm 24.182
10 1 kvm 20.930
10 2 kvm 20.747
10 3 kvm 20.650
10 4 kvm 20.709
10 5 kvm 20.626
10 6 kvm 20.954
10 7 kvm 20.660
10 8 kvm 21.116
10 9 kvm 20.802
10 10 kvm 20.894
10 11 kvm 21.003
10 12 kvm 20.880
10 13 kvm 20.880
10 14 kvm 20.951
10 15 kvm 20.779
10 16 kvm 20.968
10 17 kvm 21.068
10 18 kvm 20.696
10 19 kvm 20.998
10 20 kvm 22.081
10 21 kvm 20.830
10 22 kvm 20.993
10 23 kvm 20.912
10 24 kvm 21.116
10 25 kvm 20.948
10 26 kvm 20.800
10 27 kvm 20.899
10 28 kvm 20.886
10 29 kvm 20.963
10 30 kvm 20.947
16 1 kvm 13.122
16 2 kvm 12.971
16 3 kvm 13.037
16 4 kvm 13.013
16 5 kvm 13.039
16 6 kvm 13.168
16 7 kvm 13.078
16 8 kvm 13.103
16 9 kvm 13.115
16 10 kvm 13.030
16 11 kvm 13.035
16 12 kvm 13.283
16 13 kvm 13.008
16 14 kvm 13.119
16 15 kvm 13.039
16 16 kvm 13.126
16 17 kvm 13.098
16 18 kvm 13.158
16 19 kvm 13.063
16 20 kvm 12.996
16 21 kvm 15.732
16 22 kvm 13.112
16 23 kvm 13.106
16 24 kvm 13.058
16 25 kvm 13.102
16 26 kvm 13.101
16 27 kvm 14.406
16 28 kvm 13.074
16 29 kvm 12.969
16 30 kvm 13.100
20 1 kvm 13.378
20 2 kvm 11.586
20 3 kvm 11.942
20 4 kvm 11.698
20 5 kvm 11.616
20 6 kvm 11.517
20 7 kvm 11.538
20 8 kvm 11.485
20 9 kvm 13.143
20 10 kvm 11.608
20 11 kvm 11.660
20 12 kvm 11.377
20 13 kvm 11.440
20 14 kvm 11.492
20 15 kvm 11.492
20 16 kvm 11.437
20 17 kvm 11.818
20 18 kvm 11.433
20 19 kvm 11.832
20 20 kvm 11.636
20 21 kvm 11.331
20 22 kvm 11.545
20 23 kvm 11.985
20 24 kvm 11.478
20 25 kvm 11.825
20 26 kvm 11.548
20 27 kvm 11.895
20 28 kvm 11.582
20 29 kvm 11.734
20 30 kvm 11.700
1 1 nativo 173.189
1 2 nativo 171.776
1 3 nativo 171.355
1 4 nativo 171.839
1 5 nativo 171.636
1 6 nativo 171.199
1 7 nativo 171.863
1 8 nativo 171.911
1 9 nativo 171.671
1 10 nativo 171.221
1 11 nativo 171.712
1 12 nativo 171.032
1 13 nativo 171.691
