CPUs,Experimento,Ambiente,Tempo
1,1,kvm_2_Co,105.381
1,2,kvm_2_Co,105.3853
1,3,kvm_2_Co,105.3277
1,4,kvm_2_Co,105.3262
1,5,kvm_2_Co,105.3631
1,6,kvm_2_Co,105.3546
1,7,kvm_2_Co,105.3358
1,8,kvm_2_Co,105.3809
1,9,kvm_2_Co,105.3821
1,10,kvm_2_Co,105.4086
1,11,kvm_2_Co,105.3372
1,12,kvm_2_Co,105.4997
1,13,kvm_2_Co,105.4553
1,14,kvm_2_Co,105.5784
1,15,kvm_2_Co,105.4384
1,16,kvm_2_Co,105.3718
1,17,kvm_2_Co,105.3513
1,18,kvm_2_Co,105.3677
1,19,kvm_2_Co,105.4972
1,20,kvm_2_Co,105.3897
1,21,kvm_2_Co,105.3756
1,22,kvm_2_Co,105.4121
1,23,kvm_2_Co,105.3487
1,24,kvm_2_Co,105.4188
1,25,kvm_2_Co,105.3888
1,26,kvm_2_Co,105.4323
1,27,kvm_2_Co,105.4102
1,28,kvm_2_Co,105.3657
1,29,kvm_2_Co,105.3778
1,30,kvm_2_Co,105.3752
1,1,kvm_3_Co,105.4082
1,2,kvm_3_Co,105.4149
1,3,kvm_3_Co,105.3577
1,4,kvm_3_Co,105.3335
1,5,kvm_3_Co,105.3367
1,6,kvm_3_Co,105.4511
1,7,kvm_3_Co,105.389
1,8,kvm_3_Co,105.3984
1,9,kvm_3_Co,105.3586
1,10,kvm_3_Co,105.3344
1,11,kvm_3_Co,105.3678
1,12,kvm_3_Co,105.3656
1,13,kvm_3_Co,105.3719
1,14,kvm_3_Co,105.3234
1,15,kvm_3_Co,105.3705
1,16,kvm_3_Co,105.3829
1,17,kvm_3_Co,105.3585
1,18,kvm_3_Co,105.3389
1,19,kvm_3_Co,105.3893
1,20,kvm_3_Co,105.3866
1,21,kvm_3_Co,105.4905
1,22,kvm_3_Co,105.3454
1,23,kvm_3_Co,105.3488
1,24,kvm_3_Co,105.3541
1,25,kvm_3_Co,105.3737
1,26,kvm_3_Co,105.4989
1,27,kvm_3_Co,105.3983
1,28,kvm_3_Co,105.3653
1,29,kvm_3_Co,105.3839
1,30,kvm_3_Co,105.3865
1,1,Xen_2_Co,93.8465
1,2,Xen_2_Co,93.3204
1,3,Xen_2_Co,93.4103
1,4,Xen_2_Co,93.2703
1,5,Xen_2_Co,93.8628
1,6,Xen_2_Co,94.281
1,7,Xen_2_Co,93.8849
1,8,Xen_2_Co,93.547
1,9,Xen_2_Co,93.5185
1,10,Xen_2_Co,93.4552
1,11,Xen_2_Co,93.6116
1,12,Xen_2_Co,93.4898
1,13,Xen_2_Co,93.6009
1,14,Xen_2_Co,93.5805
1,15,Xen_2_Co,93.4812
1,16,Xen_2_Co,93.5455
1,17,Xen_2_Co,93.837
1,18,Xen_2_Co,93.3863
1,19,Xen_2_Co,93.7155
1,20,Xen_2_Co,94.2838
1,21,Xen_2_Co,93.5631
1,22,Xen_2_Co,93.3627
1,23,Xen_2_Co,93.3497
1,24,Xen_2_Co,93.5829
1,25,Xen_2_Co,93.5541
1,26,Xen_2_Co,93.5452
1,27,Xen_2_Co,93.6785
1,28,Xen_2_Co,93.2232
1,29,Xen_2_Co,93.4984
1,30,Xen_2_Co,93.4757
1,1,Xen_3_Co,93.5524
1,2,Xen_3_Co,93.7378
1,3,Xen_3_Co,93.7538
1,4,Xen_3_Co,93.5934
1,5,Xen_3_Co,93.9409
1,6,Xen_3_Co,93.6306
1,7,Xen_3_Co,93.6824
1,8,Xen_3_Co,93.7522
1,9,Xen_3_Co,93.8236
1,10,Xen_3_Co,93.3392
1,11,Xen_3_Co,93.7252
1,12,Xen_3_Co,93.4065
1,13,Xen_3_Co,93.8377
1,14,Xen_3_Co,93.9436
1,15,Xen_3_Co,93.189
1,16,Xen_3_Co,93.3662
