CPUs,Experimento,Ambiente,Tempo
1,1,kvm_1,105.4735
1,2,kvm_1,105.3613
1,3,kvm_1,105.3186
1,4,kvm_1,105.3263
1,5,kvm_1,105.3767
1,6,kvm_1,105.3417
1,7,kvm_1,105.3439
1,8,kvm_1,105.363
1,9,kvm_1,105.3183
1,10,kvm_1,105.3517
1,11,kvm_1,105.3454
1,12,kvm_1,105.3762
1,13,kvm_1,105.3295
1,14,kvm_1,105.3453
1,15,kvm_1,105.4935
1,16,kvm_1,105.4727
1,17,kvm_1,105.3538
1,18,kvm_1,105.352
1,19,kvm_1,105.3489
1,20,kvm_1,105.3468
1,21,kvm_1,105.5632
1,22,kvm_1,105.3672
1,23,kvm_1,105.3538
1,24,kvm_1,105.3469
1,25,kvm_1,105.3235
1,26,kvm_1,105.4673
1,27,kvm_1,105.4467
1,28,kvm_1,105.3335
1,29,kvm_1,105.3303
1,30,kvm_1,105.4831
1,1,Xen_1,93.6676
1,2,Xen_1,93.3818
1,3,Xen_1,93.5418
1,4,Xen_1,93.6017
1,5,Xen_1,93.6411
1,6,Xen_1,93.4728
1,7,Xen_1,93.5371
1,8,Xen_1,93.6536
1,9,Xen_1,93.5071
1,10,Xen_1,93.5229
1,11,Xen_1,93.4554
1,12,Xen_1,93.5258
1,13,Xen_1,93.2733
1,14,Xen_1,93.712
1,15,Xen_1,93.6367
1,16,Xen_1,93.7482
1,17,Xen_1,93.4258
1,18,Xen_1,93.2931
1,19,Xen_1,93.631
1,20,Xen_1,93.5335
1,21,Xen_1,93.9857
1,22,Xen_1,93.7082
1,23,Xen_1,93.2559
1,24,Xen_1,93.105
1,25,Xen_1,93.8045
1,26,Xen_1,93.8166
1,27,Xen_1,93.6789
1,28,Xen_1,93.5185
1,29,Xen_1,93.2944
1,30,Xen_1,93.7535
2,1,kvm_1,53.1001
2,2,kvm_1,52.7978
2,3,kvm_1,52.6654
2,4,kvm_1,52.7925
2,5,kvm_1,53.0053
2,6,kvm_1,52.6713
2,7,kvm_1,53.3817
2,8,kvm_1,53.0121
2,9,kvm_1,52.71
2,10,kvm_1,52.8109
2,11,kvm_1,52.7016
2,12,kvm_1,52.817
2,13,kvm_1,53.1779
2,14,kvm_1,52.8258
2,15,kvm_1,53.1676
2,16,kvm_1,53.208
2,17,kvm_1,52.6906
2,18,kvm_1,53.4052
2,19,kvm_1,52.7883
2,20,kvm_1,52.9133
2,21,kvm_1,52.9965
2,22,kvm_1,52.849
2,23,kvm_1,53.4399
2,24,kvm_1,52.8412
2,25,kvm_1,53.903
2,26,kvm_1,52.8995
2,27,kvm_1,52.7943
2,28,kvm_1,53.0729
2,29,kvm_1,52.9159
2,30,kvm_1,52.6527
2,1,Xen_1,46.9319
2,2,Xen_1,48.5975
2,3,Xen_1,46.8634
2,4,Xen_1,46.8396
2,5,Xen_1,46.8632
2,6,Xen_1,48.1512
2,7,Xen_1,46.9973
2,8,Xen_1,46.8874
2,9,Xen_1,46.8569
2,10,Xen_1,46.8476
2,11,Xen_1,48.2106
2,12,Xen_1,47.26
2,13,Xen_1,46.8819
2,14,Xen_1,46.8829
2,15,Xen_1,46.8127
2,16,Xen_1,46.8967
2,17,Xen_1,48.3565
2,18,Xen_1,48.2731
2,19,Xen_1,48.3575
2,20,Xen_1,48.2574
2,21,Xen_1,46.859
2,22,Xen_1,46.8897
2,23,Xen_1,48.3667
2,24,Xen_1,48.2806
2,25,Xen_1,46.7928
