CPUs,Experimento,Ambiente,Tempo,Tempo_Nativo,Perf,Perf5,Perf10
1,1,kvm_1,105.4735,105.1442,0,1,1
1,2,kvm_1,105.3613,105.1442,0,1,1
1,3,kvm_1,105.3186,105.1442,0,1,1
1,4,kvm_1,105.3263,105.1442,0,1,1
1,5,kvm_1,105.3767,105.1442,0,1,1
1,6,kvm_1,105.3417,105.1442,0,1,1
1,7,kvm_1,105.3439,105.1442,0,1,1
1,8,kvm_1,105.3630,105.1442,0,1,1
1,9,kvm_1,105.3183,105.1442,0,1,1
1,10,kvm_1,105.3517,105.1442,0,1,1
1,11,kvm_1,105.3454,105.1442,0,1,1
1,12,kvm_1,105.3762,105.1442,0,1,1
1,13,kvm_1,105.3295,105.1442,0,1,1
1,14,kvm_1,105.3453,105.1442,0,1,1
1,15,kvm_1,105.4935,105.1442,0,1,1
1,16,kvm_1,105.4727,105.1442,0,1,1
1,17,kvm_1,105.3538,105.1442,0,1,1
1,18,kvm_1,105.3520,105.1442,0,1,1
1,19,kvm_1,105.3489,105.1442,0,1,1
1,20,kvm_1,105.3468,105.1442,0,1,1
1,21,kvm_1,105.5632,105.1442,0,1,1
1,22,kvm_1,105.3672,105.1442,0,1,1
1,23,kvm_1,105.3538,105.1442,0,1,1
1,24,kvm_1,105.3469,105.1442,0,1,1
1,25,kvm_1,105.3235,105.1442,0,1,1
1,26,kvm_1,105.4673,105.1442,0,1,1
1,27,kvm_1,105.4467,105.1442,0,1,1
1,28,kvm_1,105.3335,105.1442,0,1,1
1,29,kvm_1,105.3303,105.1442,0,1,1
1,30,kvm_1,105.4831,105.1442,0,1,1
1,1,Xen_1,93.6676,105.1442,1,1,1
1,2,Xen_1,93.3818,105.1442,1,1,1
1,3,Xen_1,93.5418,105.1442,1,1,1
1,4,Xen_1,93.6017,105.1442,1,1,1
1,5,Xen_1,93.6411,105.1442,1,1,1
1,6,Xen_1,93.4728,105.1442,1,1,1
1,7,Xen_1,93.5371,105.1442,1,1,1
1,8,Xen_1,93.6536,105.1442,1,1,1
1,9,Xen_1,93.5071,105.1442,1,1,1
1,10,Xen_1,93.5229,105.1442,1,1,1
1,11,Xen_1,93.4554,105.1442,1,1,1
1,12,Xen_1,93.5258,105.1442,1,1,1
1,13,Xen_1,93.2733,105.1442,1,1,1
1,14,Xen_1,93.7120,105.1442,1,1,1
1,15,Xen_1,93.6367,105.1442,1,1,1
1,16,Xen_1,93.7482,105.1442,1,1,1
1,17,Xen_1,93.4258,105.1442,1,1,1
1,18,Xen_1,93.2931,105.1442,1,1,1
1,19,Xen_1,93.6310,105.1442,1,1,1
1,20,Xen_1,93.5335,105.1442,1,1,1
1,21,Xen_1,93.9857,105.1442,1,1,1
1,22,Xen_1,93.7082,105.1442,1,1,1
1,23,Xen_1,93.2559,105.1442,1,1,1
1,24,Xen_1,93.1050,105.1442,1,1,1
1,25,Xen_1,93.8045,105.1442,1,1,1
1,26,Xen_1,93.8166,105.1442,1,1,1
1,27,Xen_1,93.6789,105.1442,1,1,1
1,28,Xen_1,93.5185,105.1442,1,1,1
1,29,Xen_1,93.2944,105.1442,1,1,1
1,30,Xen_1,93.7535,105.1442,1,1,1
2,1,kvm_1,53.1001,52.6215,0,1,1
2,2,kvm_1,52.7978,52.6215,0,1,1
2,3,kvm_1,52.6654,52.6215,0,1,1
2,4,kvm_1,52.7925,52.6215,0,1,1
2,5,kvm_1,53.0053,52.6215,0,1,1
2,6,kvm_1,52.6713,52.6215,0,1,1
2,7,kvm_1,53.3817,52.6215,0,1,1
2,8,kvm_1,53.0121,52.6215,0,1,1
2,9,kvm_1,52.7100,52.6215,0,1,1
2,10,kvm_1,52.8109,52.6215,0,1,1
2,11,kvm_1,52.7016,52.6215,0,1,1
2,12,kvm_1,52.8170,52.6215,0,1,1
2,13,kvm_1,53.1779,52.6215,0,1,1
2,14,kvm_1,52.8258,52.6215,0,1,1
2,15,kvm_1,53.1676,52.6215,0,1,1
2,16,kvm_1,53.2080,52.6215,0,1,1
2,17,kvm_1,52.6906,52.6215,0,1,1
2,18,kvm_1,53.4052,52.6215,0,1,1
2,19,kvm_1,52.7883,52.6215,0,1,1
2,20,kvm_1,52.9133,52.6215,0,1,1
2,21,kvm_1,52.9965,52.6215,0,1,1
2,22,kvm_1,52.8490,52.6215,0,1,1
2,23,kvm_1,53.4399,52.6215,0,1,1
2,24,kvm_1,52.8412,52.6215,0,1,1
2,25,kvm_1,53.9030,52.6215,0,1,1
2,26,kvm_1,52.8995,52.6215,0,1,1
2,27,kvm_1,52.7943,52.6215,0,1,1
2,28,kvm_1,53.0729,52.6215,0,1,1
2,29,kvm_1,52.9159,52.6215,0,1,1
2,30,kvm_1,52.6527,52.6215,0,1,1
2,1,Xen_1,46.9319,52.6215,1,1,1
